# FILE DATA
ID : MDRW2100041069
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 해외/기타
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 그니까요 맨날 악마한테 이름 알려달라고 소리치고...
P0 	: 그래서 컨저링 시리즈도 점점 재미없어진 거 같아요
P1 	: 아진짜 웃겨요
P1 	: 네 이름이 뭐니~~~!!!
P1 	: 진짜 그래서 서양 공포에 별 감흥이나 기대도 없던 와중에
P1 	: 미드소마가 단비같았어요 유전이랑
P0 	: 그니까요! 혹시 랍스터도 아시나요 영화?
P0 	: 약간 좀 기괴한 분위기가 비슷한 것 같아서
P1 	: 오
P1 	: 아니요 처음 들어보는데
P1 	: 진짜 볼게요 ㅋㅋㅋㅋㅋㅋ
P1 	: 빈말이 아니라 진짜로!!!
P1 	: 넷플릭스나 왓챠에서도 볼 수 있나요?
P0 	: 헛.. 잘 모르겠어요! 전 또 네이버로 사서 봐서 ㅎ.ㅎ
P0 	: 근데 후회하지는 않으실 거예요!!!
P1 	: 앗 그러시구나
P1 	: 저도 봐야지요
P0 	: 헛 ㅎㅎ !
P0 	: &name2&님 디스토피아 영화도 좋아하세요?
P1 	: 헐 완전요!!!!
P1 	: 추천해주세요{emoji:♡}{emoji:♡}{emoji:♡}
P0 	: 월요일이 사라졌다 혹시 아시나요!
P1 	: 오옷 처음 들어보는데요!!!
P1 	: 디스토피아라면
P1 	: 갑자기 무슨 일이 생겨서 월요일 출근을 못하게 된 상황이려나요?!
P0 	: 앗 아니에요 ㅋㅋㅋㅋㅋㅋㅋ !!!!!
P0 	: 조오금 말씀드리자면
P0 	: 나라에서 애를 1명 이상 못 낳게하는데! 7 쌍둥이를 몰래 낳은 집에서 7명이 1명처럼 살다가!
P0 	: 1명이 사라지는!!!! 내용입니다
P0 	: 진짜로 잼ㅁ서요
P1 	: 헐헐 세상에
P1 	: 대박대박 ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 어느 나라 작품인가요?!
P0 	: 제가 알기론 미국!일걸요!!
P0 	: 완전 흥미진진하니까
P0 	: 심장 꼭 붙들어매고 보셔야혀요
P1 	: 헐헐 너무 감사해요
