# FILE DATA
ID : MDRW2100010186
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>고향 및 이전 거주지 지인
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: 프랑켄슈타인도 원래 남편인가 암튼 남자 이름으로 나왔었잖아
P0 	: 참 여러의미로 대단한듯
P0 	: 그냥
P0 	: 소설훔친거랑뭐가달라
P1 	: 그니까 그리고 남편 이름으로 나왔을때는 찬사를 받다가
P1 	: 이름 돌려놓으니까 혹평 받았다는게 참
P0 	: 그런식으로혹평받아서사라진여성작가님들
P0 	: 많았을거같아
P1 	: 그니까
P1 	: 그래서 아까워
P0 	: 유명한작품중에서도여자가쓴작품
P0 	: 많았을듯
P0 	: 그냥안밝혀졌을뿐
P1 	: 맞아 하도 뺏긴 이름이 많았어서
P0 	: 휴 그래도 요즘 여자 작가들 많아져서 좋음
P0 	: 외국에서상도받았다녀
P0 	: 며
P0 	: 한국인최초로
P1 	: 아 받았지
P1 	: 맨부커상 받았잖아
P1 	: 대박이야
P0 	: 번역때문에남작가들이상못받았다는건
P0 	: 다거짓말이라니까
P0 	: 그냥작품성이없었을뿐
P1 	: 아 맞지맞지
P1 	: 아니 다른 나라가 출판사가 없는 것도 아니고
P1 	: 거기서 검수해서 하는건데
P0 	: 그니까. 과도한 애국심은 독인듯
P1 	: 그니까 으
P0 	: 가정폭력 성희롱 작품을 찬양하기나하고
P0 	: 나 어제 책 읽는데 약간 사기당한 기분임
