# FILE DATA
ID : MDRW2100021280
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  직장>동기/동료/동업자
intimacy  :  3
contact_frequency  :  주 1~2회

P1 	: 과제 할 시즌 아니라요??
P0 	: ㅜㅜ
P1 	: 걍 갑시다 고고 ㅋㅋㅋㅋ
P0 	: 미치긋네ㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋ과제끝나면 기말 ㅋㅋㅋㅋ
P0 	: ㅡㅡ
P0 	: 책 많이 읽히란다
P0 	: 학업스트레스ㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋ책읽는것도 스트레스 ㅋㅋㅋㅋ
P1 	: 난 요즘 그 학습지에있는 지문이라도 단디.읽으라캐요ㅠㅋㅋㅋㅋㅋㅋ
P0 	: 잘하고있네
P1 	: 7살에 평생 읽을 책을 다읽은듯..
P0 	: ㅎㅎ
P1 	: 그뒤로는 질렸나보ㅏ여 ㅋㅋㅋㅋㅋ
P0 	: 우리도책읽자
P0 	: 일주일에한권씩
P1 	: 안그래도 책에대해서 얘기하면..
P1 	: 애들 책 읽어주는것밖에;;
P0 	: 그래 니는 독서를 하고있었구나ㅋ
P1 	: 그쵸~언니네 애들은 각자 읽으니 ㅋㅋㅋㅋ
P1 	: 언니 그래도 자격증 공부하니깐여 ㅋㅋㅋ
P0 	: 자격증공부에 책읽기는 엄써ㅋ
P0 	: 월요일 은근 월요병있다나는
P1 	: 언니신랑도 있잖아여 ㅋㅋㅋㅋ
P1 	: 부창부수 ㅋㅋㅋㅋ
P0 	: 모두에게있군ㅋㅋ
P0 	: 첫째학교선생님 바뀐단다ㅡㅡ
P0 	: 시어머니아프다고
P1 	: 학기 중에 맡길 수가 있어요
P1 	: 바뀔 수가
P1 	: 시어머님이랑 무슨 상관??;;
