# FILE DATA
ID : MDRW2100015062
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 일상 트렌드>콜라보레이션 마케팅(곰표, 진로 두꺼비 등)

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 단모음

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 전남
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 새로운 얘기를 해볼까봐요 ㅋㅋ
P0 	: 요즘에 콜라보 상품들 엄청 보이지않나요? 특히 곰표 맥주 맛있다고 엄청 입소문 타고 그랬죠
P1 	: ㅎㅎ 맞아요
P1 	: 전 곰표밀가루쿠션 (화장품) 써요 ㅋ
P1 	: 밀가루처럼 하얘진다거 ㅋㅋ 밀가루쿠션 ㅋ
P0 	: ㅋㅋㅋㅋㅋ아 그거 스와니코코인가
P0 	: 그 브랜드꺼죠? 얼마전 할인했었나 엄청 싸게 풀렸던 거로 아는데
P1 	: 엇 아시네요
P0 	: 저는 다 끝나고 알았어요 ㅋㅋ
P1 	: 네네 전 얼래 스와니코코 썼엇어서
P1 	: 저는 예전에 이벤트로 받았어요 ㅎㅎㅎ
P0 	: 저는 쿠션 유목중이에요
P0 	: 애매한 23호 수부지인데
P0 	: 지성용은 넘 건조하고 건성용은 번들번들
P0 	: 그나마 병파데 쓰는게 젤 낫긴 하던데 넘 번거롭더라구요
P1 	: 저는 21호 수부지인데 ㅋ  밀기루 잘받아요 ㅋ
P0 	: 하나만 쓰는게 아니구 두세개 섞어쓰거든요
P1 	: 아항 저는 귀차나서 하나만 ㅜㅜㅋ
P0 	: 뭔가 요즘 브랜드들이
P0 	: 로드샵 아닌거도 많이 나오던데
P0 	: 뭐랄까 안써본거..?인지도가 낮은 거에 대한 실패 두려움이 좀 있는 거 같아요
P0 	: 곰표 아직도 팔기는 하는군요
P0 	: 하지만 생각보다는 쪼금 비싸네요 좀 더 세일하면 사보고싶은데
P1 	: 음 스와니코코가  신규 가입 이벤트로 예전엔 많이.풀었는데 요즘은 모르겠어요
P1 	: 근데  확실히 코로나때문에 화장품이 잘 안줄어드네요
P0 	: 글쿤요 근데 점점 귀찮고 하니까 쓰던거만 쓰고 그마저도 잘 안줄긴 하는 거 같아요
P0 	: 원랜 집에서 화장했는데 요샌 출근하면서 차에서 화장하고 다녔거든요
P1 	: ㅎㅎ 기초만 열심히 ㅎㅎㅎ
