# FILE DATA
ID : MDRW2100015709
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 광주
principal_residence : 대구
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 야식먹고싶은 시간이네요
P1 	: 맞아요 야식 좋죠 ㅋㅋㅋㅋ
P0 	: 야식 시키면 주로 뭐 드세요?
P1 	: 음 주로 치킨 많이 먹는 것 같아요
P1 	: 간간히 김피탕??
P0 	: 오 김피탕 맛있나요?
P0 	: 한번도 안먹어봤어요
P1 	: 아 진짜요??
P1 	: 전 맛있어하는 편인데
P1 	: 막 특별할건 없는 맛이예요
P1 	: 그냥 딱 생각하는 그대로의 맛 ㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋ궁금해서 매번 먹어봐야지 해보고 한번도 못먹어봤어요
P1 	: ㅋㅋㅋㅋㅋ나중에 궁금하시면
P1 	: 한 번쯤 시켜드세요!
P1 	: 그냥 평범한 맛이라 ㅋㅋㅋㅋㅋ 한 번 시도해보기엔 나쁘지않아요
P0 	: ㅋㅋㅋ한번 도전해봐야겠어요
P1 	: 못드시는 음식은 있으신가요??
P0 	: 저는 간장게장 못먹어요ㅠㅠ갑각류 알러지 있어서
P1 	: 답장이 많이 늦어졌네요 ㅠㅜ
P1 	: 갑각류 알러지 있으시구나 ㅠㅠㅠㅠ그럼 껍질 다 제거해도 못드시는건가요..? ㅠㅠ
P0 	: 익힌건 먹을 수 있어요!
P0 	: 생새우나 간장게장같은거만 못먹어용
P1 	: 아 익힌건 괜찮으시구나 ㅠㅠ
P1 	: 저도 간장게장은 비려서 못먹어요...
P1 	: 홈쇼핑광고보면 그렇게 맛있어보이는데...
P0 	: 어우 그분들은 대체 어떻게 그렇게 많이 먹는지
P0 	: 오바..
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ그러니까욬ㅋㅋㅋㅋㅋ
P1 	: 홈쇼핑 광고하시는 분들 너무 맛있게 잘드세요...
P0 	: 뭐다른음식 좋아하는거 있으세요?
P1 	: 담양 숯불갈비 드셔보셨어요? 맛있어요...
P0 	: 헐 아녀 안먹어봤어요
