# FILE DATA
ID : MDRW2100038797
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 단모음

id : 2
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 대구
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 케이크 중엔 뭘 제일 좋아하세요?
P1 	: 치즈 케이크??
P0 	: 그거슨 정할수 없습니다 맛있게 만든 케이크를 조아합니다
P0 	: 종류는 다 좋아하고 문제는 맛이요
P1 	: ㅋㅋㅋㅋ 저는 초코케이크는 안 좋아하거든요
P1 	: 그리구 버터크림 케이크도 싫어요...
P0 	: 아니,, 박애정신이 없으시군여! 구박하지마시져!
P0 	: 어차피 한조각씩 정도만 먹어서 전 종류는 안가려요
P1 	: 글쿤여... 저는 저기에다가 레드벨벳까지 더해서 한조각 혼자 먹으라고 하면 중간에 때려치우고 싶어지거든요ㅎㅎ
P1 	: 돈이 아까우니까 먹긴 하는데 먹기 싫어여...
P1 	: 당근 싫어해서 당근케이크도 맛 없을 줄 알았는데
P1 	: 이건 먹어보니 맛있었어요ㅋㅋㅋ
P0 	: 와 당근케이크를 이제드셔보다닛
P0 	: 되게 그냥 무난한 맛이에요 ㅋㅋ
P1 	: 작년에 첨 먹어봐써요
P1 	: 음식 호불호가 심해서 먹던 거 아님 안 먹거든요ㅋㅋㅋ
P1 	: 아님 남이 먹을 때 꼽사리 껴서 한입 먹어보거나...
P0 	: 작년에 첨 머거보다녀 ㅠ,ㅠ 너무합니다,,
P0 	: 크림치즈 프로스팅올라가서 당근맛은 나지도 않을걸요 크림치즈올라간거드셨나요?
P1 	: 아마도? 사실 잘 기억이 안 나는데
P1 	: 이걸 먹게 된 것도... 선물 받은 투썸 상품권 유효기간이 다 돼 가서
P1 	: 근처 투썸에 가 케이크를 사려고 했더니
P1 	: 가게에 남은 3만원 내외 홀케이크가 당근케이크 뿐이어서
P1 	: 어쩔 수 없이 먹었어요...
P1 	: 혼자 먹은 건 아니고 가족들이랑 같이 먹는 거라 걍 샀습니다.
P0 	: ㅡㅡ맛없어도 가족들에게 넘길 생각이셨군요,,
P1 	: 넹ㅋㅋㅋ
P1 	: 혼자 먹는 거면 안 샀을 거예요ㅋㅋㅋ
P0 	: 와아아 진짜 새로운 맛을 안 좋아하시는군요 당근케이크는 당근향 거의 안나용ㅋㅋ 걍 당근 향 살짝 나는 스폰지케이크에요
P1 	: 당근향이 강했다면 아마 선명하게 기억했겠죠ㅋㅋㅋ
P1 	: 무난하게 맛있었단 생각이 나는 걸 보니 아마 이름이 제일 당근스럽지 않았나 싶어요.
