# FILE DATA
ID : MDRW2100009463
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 여행

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 전남
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 장흥에서 사셨으면 주변에 여행지 추천좀해주세요ㅎㅎ
P0 	: 어짜피 저랑 같을꺼 같긴하지만ㅎㅎ 그래도ㅎ 또 모르니ㅎ
P1 	: ㅎㅎ 근데 저 장흥태생이긴 한데 경기도 더 오래 살아서 ㅎㅎ
	  아는곳이 생각보다  없더라구요
P1 	: 옆동네인 보성녹차밭도 못가봣어요 아하하
P0 	: ㅎㅎ 그렇군요ㅎ 그러면 대학때 경기도로 가신거에요?
P0 	: 여행을 많이 가보셔야 했을껀데ㅠ 학창시절에는 공부만 하셨나보네요ㅠ
P1 	: 네네 ㅎㅎ 아주어릴땐 광주살았구요
P0 	: 다그렇죠뭐ㅎㅎ 저도 거의 타지역에 살다가 직장때문에 다시온케이스라ㅎ
P0 	: 경기도가셔서는 여행 많이 가보셨어요? 아무래도 전남 보다는 갈때가  많죠?
P1 	: 아 그럼 순천 거주중이신가보네요
P1 	: 순천은 추천할만한곳 있어요?
P0 	: 네넵ㅎ 일때문에ㅎㅎ
P0 	: 순천은 다 아실꺼에요ㅎㅎ
P1 	: 어릴때만 가봐서요 ㅋ
P0 	: 정원박람회, 드라마세트장, 전망대, 호수공원ㅎ 사람많아요
P1 	: 가본곳이 왜 없을까요 헉 ㅋ
P0 	: 저는 갈때가 없더라구요ㅎ
P1 	: 그래도 순천 많이 갔는데
P0 	: 아마 어릴때였으면 정원박람회 안했을껄요ㅎ
P0 	: 순천만 갈대밭 전망대가 좋아요ㅎ
P1 	: 오히려 가까운데는 더 못가본 느낌이네여
P0 	: 힐링하시는거 좋아하시잖아요ㅎ 갈대밭에가시면 엄청 힐링되실꺼에요ㅎ 단, 평일에요ㅎㅎㅎ
P1 	: 순천만도 안갔어요 ㅜㅁ ㅜ
P0 	: 에고ㅠ
P0 	: 많이 안돌아다니시는 집순이신가요?ㅎ
P1 	: 음 그건 아닌데 ㅎㅎ
P1 	: 요즘은 집순이긴 한거 같네여 ㄹㄹ
P1 	: 몇년전 만 해도 전국 맛집 찾아 다니고 ㅎㅎ
P0 	: 여행 좋아하시나보네요ㅎㅎ
P1 	: 동해부터~ 장흥집까지  해안타고 돌기고 했는데
	  지금은 그런 열정이 없는거 같아요 ㅎㅎ
P0 	: 우와ㅎ
P0 	: 7번국도?ㅎㅎ
P0 	: 저도 순천에서 강원도까지 갔었는데 너무 좋았어요ㅎ
P1 	: 넘 좋져 ㅎㅎ
P0 	: 밥때 맞춰서 지역하나하나 들어서 밥먹고ㅎ
P1 	: 전 경치도 경치인데 맛집 검색해서 ㅋ
P0 	: 혼밥하고 다녔었눈데ㅎㅎ
P0 	: 좋죠ㅎ 여행하면 식도락여행이죠 ㅎ
P1 	: 경기 동해 쭉 내려와서 부산에 여수 순천 장흥까지  7일동안   ㅎㅎ
P1 	: 그때후로 여행 안간거 같은 ㅋ
P1 	: 이제 집아니면   가까운 바다  제부도나 삽교호 정도
P0 	: ㅎㅎ 좋죠~^^ 혼자가셨어요? 7일동안?
P1 	: 친구랑요 ㅎㅎ
P0 	: 친구랑 가면 정말 좋죠ㅎㅎ 혼밥할 필요도 없고ㅎ
