# FILE DATA
ID : MDRW2100040376
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 그죠~ 근데 전 아직 둘다없어요ㅠ
P0 	: 구거랑 저흰 강아지가 있어서
P0 	: 다이슨 청소기 필수에요
P1 	: 저도 강아지 있지만 샤오미 청소기로 그냥..^^;;
	  말티즈는 털이 별루안빠져서 좋아오ㅡ
P0 	: 로봇청소기 있음 좋을 것 같아요
P0 	: 헐 말티즈 키우시는구나 나중에 반려동물 이야기해요
P0 	: 저희는 돌돌이 구매 필수에요
P1 	: 네^^  저 유투버 귀곰 채널요즘 보는데
P0 	: 귀곰 채널
P0 	: 뭔가요
P1 	: 가전 리뷰해주는데 로봇청소기 요즘 진짜 똑똑하더라구요
P1 	: 유투브에서 귀곰 이라고 검색하면 곰탈 쓴 유투버가 가전분석해줘요ㅋㅋ
P0 	: 오와 정말요 좋네요
P0 	: 로봇청소기가 강아지 배변실수한데를 지나가소
P0 	: 똥밭됐다는 이야길 들었어요
P1 	: 어머나 세상에 안똑똑하네요
P1 	: 신혼살림 대부분 선물받았는데
P0 	: 깜짝 놀랐어요
P0 	: 네네 뭐가 꿀템이에요?
P1 	: 다 인터넷에 에누리에서 가성비1위하는걸로  링크보내서 사달라고했어요
P1 	: LG양문형 냉장고 830L 120만원.
	  삼성드럼세탁기 17kg 90만원 
	  이런식으로 저는 가성비 템으로 구매했는데
P0 	: 우와 좋은 친구들이시다
P0 	: 전 비스포크 사고싶어요
P1 	: 좋은건 비스포크인데 가격이 넘 사악해요
P0 	: 그쵸 ㅠㅠ
P0 	: 예물비 안하고 여기에 다 투자하고파요
P1 	: 그리구 냉장고는 어짜피 L만 800L넘어가면 다른기능 많아도 다 활용안하는데 싶어서요
P1 	: 저는 예물도안했어요
P1 	: 그냥 커플링 결혼반지만 했어요
