# FILE DATA
ID : MDRW2100020911
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 경기
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 네 저희 가족은 어릴 때 부터 먹었는데 진짜 맛있어요!
P1 	: 고소하고 적당히 달아서 맛있네요
P1 	: 사과랑 당근 같이 갈아 먹으면 맛있어요
P1 	: 저 계속 갈아먹는 얘기만 너무하나요ㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋ아뇨ㅋㅋㅋㅋ 저희집은 abc주스나 자두요구르트 주스 이런것도 먹어요 ㅋㅋ
P1 	: 오 뭐죠? 저가 먹지 않았던 음료들을 드시는군요
P1 	: abc주스는 무슨 맛이에요?
P0 	: 사과 비트 당근 일정비율로 나눈 후 갈아서 마시는건데
	  저희엄마는 그냥 감대로 때려넣어서(?) 갈아주셧어요 ㅋㅋ
	  비트에서 흙맛이 나니까 요구르트로 흙맛을 잡아줬어요 ㅋㅋ
P1 	: 우와 뭐에요??? 완전 건강주스네요
P1 	: 나중에 먹어봐야겠어요 ㅎㅎ
P1 	: 점심은 뭐 드셨나요?
P0 	: 저는 시루떡먹었어요 ㅎㅎ &name2&님은요?
P1 	: 시루떡이요? 오오 맛있겠네요
P1 	: 저는 목살 구워 먹었는데 완전 맛 없었어요..
P1 	: 육즙이 다 빠져서 엄청 질겼거든요 ㅜ
P0 	: 아... 어디서드셧는데요?
P1 	: 저 그냥 집에서 구워먹었어요ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 냉동실에 있었어요 고기가 그래서 맛없는 듯 하네요
P1 	: 얼른 먹었어야 했는데.ㅈ.
P0 	: 아.. 그럴수가 ㅜㅜ
	  고기가 맛이없엇던건 아닐까요??ㅠㅠ
	  속상하셧겟어요 ㅠㅠ
P0 	: 해동하는것도ㅠ좀 까다롭더라고요 ㅜ
P1 	: 그쵸.. 하하 고기가 맛 없는 거라고 생각해야겠어요 ㅋㅋㅋㅋ
P1 	: 스테이크 좋아하시나요?
P0 	: 네!!{emoji:♥}{emoji:♥} &name2&님도요??ㅎㅎㅎ
P1 	: 어머 너무 좋아하시나보다 ㅋㅋㅋㅋ네 좋아해요!{emoji:♡}{emoji:♡}
P1 	: 굽기는 어떻게 드시나요?
P1 	: 저는 미디움 레어요~
P0 	: 저도 미디움레어 정돜ㅋㅋ
P0 	: 질긴거 안좋아해요 ㅋㅋㅋ
P1 	: 아니 이 분 드실 줄 아시네요
P1 	: 그 영국 욕쟁이 요리사 이름 뭐였죠
P1 	: 그 분이 그랬어요 가장 맛있는 굽기가 미디움 레어래요
P1 	: 고든램지!!
P0 	: ㅋㅋㅋㅋ
P0 	: 오 그러시군요 ㅋㅋㅋ 그분 말씀이면 들어야죠
