# FILE DATA
ID : MDRW2100026175
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 부산
principal_residence : 제주
current_residence : 제주
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 제주
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 오 반려동물
P1 	: 저는 알러지가 있어서 바라만 봐요
P0 	: ㅎㅎ 여기 길냥이 친화적이에요
P0 	: 어제 기막히게 예쁜 냥이 사진찍었는데
P0 	: 전송이 안되는군여
P1 	: 하하
P1 	: 동생도 고양이 기르고
P1 	: 친한친구들 다 고양이 길러서
P1 	: 친구들 집에도 못들어가눈 ㅜㅜ
P0 	: ㅜㅜ 이쁘긴한데
P0 	: 가까이하기엔 너무먼 당신이군요
P1 	: 네 그래서 서울 있을때는 같이살던 친구랑 사료사서 물이랑 주고 다녔지요
P1 	: 산책겸
P0 	: 캣맘이셨군요!
P0 	: 고양이는 쭉쭉 엿가락처럼 늘어나요
P1 	: 제 몸은 말을 안들어두 마음을 따라서~
P1 	: 맞아요 가끔 연체동물같죠 귀여워요오오오
P0 	: 만지고싶어도 동의 얻을수없으니 저도 이뻐라하며 말만 걸어요^^
P0 	: 강아지는 산책할때 보여서 대리만족 흐흣
P1 	: 강아지는 충성스럽지만
P1 	: 가끔 그런게 더 부담인 것 같아여
P0 	: 반려동물은 수명이 짧아서
P0 	: 사람보다 긴 거북이를 키울수도 있지요^^
P1 	: 혼자 살아도 가끔 마음이 복잡한데
P1 	: 여행 좋아하는 저로선 반려식물두 어려울 것 같습니다 ^^;
P0 	: 반려식물ㅋㅋ
P0 	: 친구들보니 간식도 만들고
P0 	: 인간자식뿐아니라 강아지자식+1 느낌
P1 	: 하하 전 오늘 풋귤청 만들었는데
P1 	: 저 먹을 간식도 잘 못챙겨먹겠어요
