# FILE DATA
ID : MDRW2100025844
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 해외/기타
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 엇 저두요ㅋㅋㅋㅋㅋ
P1 	: 근데 또 크러스트는 싫어요ㅠㅠ
P0 	: 어머 저두요
P0 	: 뭔일이야
P1 	: 그러게말이에욬ㅋㅋㅋㅋ
P0 	: 그 짭짤한게 제입맛에는 안 맞더라구요ㅋㅋㅋㅋㅋ
P1 	: 그리고 치즈몰빵이다보니 먹으면 느끼한 것두요ㅠㅠ
P1 	: 앞부분(?)은 소스도 있고 토핑도 있어서 그런지 괜찮은데 크러스트 부분은 왜 그렇게 확 올라오는지 모르겠어요ㅠㅠ
P0 	: 아 그런가봐요
P0 	: 소스가 있으면 괜찮은데
P0 	: 그렇게 빵이랑 치즈만 달랑 있어서 별로인가봐요
P0 	: 이제 깨달았네요ㅋㅋㅋㅋㅋㅋ
P1 	: 그리고 그것도 있는거 같아요 뭔가 그 땡땡한 느낌이라고 해야할까요?? 뭉쳐있어서 그런지 아니면 뒷부분이라 좀 식어서 그런지 앞부분이랑 다르게 땡땡한 느낌이 들더라구요ㅠㅠ
P1 	: 저는 그래서 치즈크러스트 먹을때 가족들이랑 먹으면 그냥 처음부터 떼서 안먹고 밖에서 다른사람들이랑 먹을땐 크러스트 한 입 콜라 한 입 번갈아가면서 먹어욬ㅋㅋ ㅠㅠ
P0 	: 엌ㅋㅋㅋㅋㅋㅋ 밖에서 먹으면 고생이네요..
P0 	: 그럼 크림같은거는 어떠세요??
P1 	: 크림도 느끼하거나 우유맛이 너무 많이나면 별로 안 좋아해요ㅜㅜ
P1 	: 우유 끝의 비린맛이 저는 너무 싫더라구요ㅠㅜ
P0 	: 저두요
P0 	: 제가 유제품쪽을 안 좋아해요
P0 	: &name2&님도 그러신가봐요
P1 	: 넹넹ㅠㅠ
P0 	: 우유도 흰우유는 좀 느글거리더라구요
P1 	: 하지만, 이것도 남들은 잘 이해해주지 못하죠...ㅠ
P0 	: 맞아요ㅠㅠ
P0 	: 다들 크림 좋아하더라구요
P1 	: 그러니까요ㅠㅠ
P0 	: 제 친구는 휘핑크림을 바로 입에 짜서 먹는거에요
P0 	: 그래서 먹어봤는데
P1 	: 네???
P1 	: 그거 상당히 느끼하거나 우유비린맛이 많이 날텐데;;;
P0 	: 저는 그 이후로 휘핑크림은 안 먹어요..ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그니까요
P0 	: 그냥 생크림맛이더라구요
P0 	: 어우
P1 	: 전 생크림도 단맛 많이 나는 것만 좋아해요. 시럽 뿌려져 있는 거라던지...
P1 	: 그리고 크림 먹을땐 꼭 진한 커피같은거랑 같이 먹어욬ㅋㅋ
P1 	: 단맛이 이겨버리는 그런 걸로욬ㅋㅋㅋ
P0 	: 저두욬ㅋㅋㅋㅋ
P0 	: 음료에 올라간건 섞으면 맛이 안 나거든요ㅋㅋㅋㅋㅋ
P1 	: 맞아요ㅠㅠ 사람들은 맛있다구 하는데 싫은걸 어떻게 해요ㅠㅠ
