# FILE DATA
ID : MDRW2100022044
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 혹시 건강을 위해 요즘 하고계신 것이 있나요?
P0 	: 저는 어제도 병원에 다녀왔는데요... 요즘 건강이 최고라는 걸 다시 한번 느끼고 있어요ㅜㅜ
P1 	: 따로 하고 있는건 없고, 평소에 배달음식/인스턴트음식/반조리식품들 보다는 직접 요리해서 건강하게 먹으려고는 하고 있어요
P1 	: 건강이 무엇보다도 중요하죠!
P0 	: 맞아요 먹는 게 진짜 중요한 것 같아요!
P0 	: 먹는 거랑 스트레스 관리가 제일 중요한 것 같아요!!
P0 	: 저도 배달음식 많이 먹다 보면 걱정도 되고 더 먹기도 싫더라구요... 저도 그래서 귀찮더라도 장봐다가 해먹으려고 노력하고 있어요!
P0 	: 혹시 패션에도 관심이 많으신가요?
P1 	: 네 관심 있어요ㅎㅎ
P0 	: 그러시군요!
P0 	: 저는 관심이 엄청 많진 않고 그냥 제가 편하고 마음에 들게 입는 걸 좋아하는데요
P0 	: 며칠전에 예뻐보이는 하늘색 슬랙스를 샀는데 도저히 어떤 상의랑 입어야 할지 모르겠어요...
P1 	: 저도 관심이 엄청 많거나 전문적으로 공부하고 관심있거 그런 편은 아니에요ㅎㅎ
P1 	: 하늘색 슬랙스라면 흰색 상의와 함께 매치한다면 잘 어울릴꺼 같은데요
P0 	: 그런가요??
P0 	: 흰색으로 한번 찾아봐야겠네요~!!
P0 	: 감사해요
P0 	: 원래 무난하게 입으려고 검은색 위주로 사는데
P0 	: 이번에는 하늘색이 너무 예뻐보여서 샀더니 조금 어색하네요ㅜㅜ
P1 	: 보통 검정색이 무난하고 대부분의 옷들과 매치하기가 쉽죠
P0 	: 맞아요 너무 편해서 계속 입게 되더라구요!
P1 	: 저도 연한 핑크빛의 슬랙스 사둔게 있는데 
	  아직 개시를 못 해봤어요ㅜㅜ
P1 	: 주로 검정이나 네이비를 입게 되어서..
P0 	: 무슨 기분인지 너무 알 것 같아요...
P0 	: 저도 진녹색 자켓을 사둔지 한 2년만에 입은 것 같아요...
P0 	: 그렇게 놔두다가 언니가 먼저 입고나가고 그런답니다...
P1 	: 언니랑 옷 사이즈가 비슷하신가봐요!
P0 	: 상의는 비슷한데 하의는 언니가 더 크게 입어요!
P0 	: 그런데 제가 크게 입는걸 좋아해서 그냥 두루두루 잘 입어요 ㅋㅋㅋㅋ
P1 	: 앗 그러시군요
