# FILE DATA
ID : MDRW2100007871
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 여행

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  직장>선후배/상사-부하
intimacy  :  3
contact_frequency  :  주 1~2회

P0 	: 아까
P0 	: 분명 나가서 구경하자 했는데
P0 	: 왜 아무곳도 안가는가
P1 	: ㅋㅋ나갈수잇어여?
P1 	: 귀찮을턴데?
P0 	: 한시간만 나가면 양평이 눈앞에 펼쳐질텐데
P1 	: ㅋㅋ그러게 근데 사람도 많겟죠
P0 	: 결국안갔어
P0 	: 이번주도 집콕이야
P0 	: 여행간지가 언제인가
P1 	: 여행이 뭐죠
P0 	: 나도 모르는것..
P0 	: 확실한건 집에 있는건 아닌것
P1 	: ㅋㅋ나가는것
P0 	: 이곳을 떠나는것
P1 	: ㅋㅋ담주나 가평이나 가볼까 계혹중
P0 	: 와우 가평에 뭐있어?
P1 	: 마이다스호텔?
P1 	: 애기데꼬 가기좋다길래여ㅋㅋ
P0 	: 오 무려 호텔이야
P1 	: ㅋㅋ말만
P1 	: 리조트같은거던데여?
P0 	: 오 그래도 좋다
P0 	: 지금이 놀기 딱 좋은 계절
P1 	: ㅋㅋ애낳기전에머라도 ..
P0 	: 맞아 이제 둘되면 힘들겠다 다니기도
P1 	: 그니까여ㅋㅋ마지막여행
P0 	: 마지막을 불태워보자고
P0 	: 하지만 여행가면 나 다시 시녀
P1 	: ㅋㅋ그쳐 난 시녀신세
P0 	: 여행가서도 뒤치닥거리 ㅋㅋ
P1 	: ㅋ집에서나 밖에서나
