# FILE DATA
ID : MDRW2100021593
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 여행

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 네 ㅋㅋㅋ
P1 	: 신선해요?
P0 	: 네 제가 지금 서울에 살고 있어서 ㅎㅎ
P0 	: 계획을 2년동안이나 세웠다고 하니 신기해요!
P1 	: 아 여름방학때 여기가야지 하면 코로나
P1 	: 겨울 방학때 여기가야지 하면 코로나
P1 	: 이게 2년째 반복이라서요 ㅋㅋㅋ
P0 	: 헉 그래서 2년째구나
P0 	: 서울 어디 구경해보고 싶어요?
P1 	: 사실 전 연애가 서울 사람과 한 6년동안 장거리연애여서
P1 	: 가볼만한덴 다 가봤고ㅋㅋㅋ
P1 	: 전시회랑 박물관 이런데 가려구요
P0 	: 앗 진짜요?
P0 	: 그럼 예술의 전당도 가보셨어요?
P1 	: 넹ㅋㅋㅋ 한번씩 전시회 간다고 서울 종종 갔어요
P1 	: 근데 코로나땜에 놓친 전시가 많아서 아쉬워요
P0 	: ㅎㅎ저도 코로나일 때 작년에 전시회는 종종 봤었네요
P0 	: 박물관은 여러군데 있던데 어디 가고 싶으세요?
P1 	: 중앙박물관이요!
P1 	: 이건희 소장품들 좀 보러가고싶었는데 ㅋㅋㅋ
P0 	: 앗 이건희 소장품들이 거기에 있어요?
P0 	: 그 미술작품들이요?
P1 	: 네네 특별전시로 하고있어요ㅋㅋㅋ
P1 	: 나중에 이건희 미술관 지으면 거기로 가겠지만
P0 	: 이건희 미술관은 어디로 지은데요?
P0 	: 나중에 저도 거기로 미술여행 떠나봐야겠어요~
P1 	: 뭐 여기저기 서로 유치해달라고 싸우더니
P1 	: 결국 서울에 생긴다고 들었어여 ㅋㅋㅋ
P1 	: 낯선동네라 이름은 첨 듣는 동네였어요
