# FILE DATA
ID : MDRW2100027457
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 기타 사회 생활 및 활동>온라인 커뮤니티

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경북
principal_residence : 울산
current_residence : 광주
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 그래서 이사한다고 짐을쌌는데
P1 	: 아빠가 노끈으로 묶은 것들이 드니까 스르륵 다 풀리더래요
P1 	: 한개도아니고 죄다
P1 	: 애 둘 건사하는것도 힘들어죽겄고 짐도 얼른 실어야하고
P1 	: 엄마가 진짜 대환장 파티셨을듯
P0 	: 어이쿠~!그건 좀 심하네요.
P0 	: 손끝이 너무 ..음..
P0 	: 엄마심정에 격하게 공감요
P1 	: 진짜 그날을 잊을수없다나
P1 	: 그리고 대망의 레전드3
P1 	: 이건 저도 기억나요 ㅋㅋ
P0 	: 어쩐대요..어디 카페라도 가입하셔서 와이프에게 이쁨받는법이라도 배우셔야 될듯한데..
P1 	: 어디선가 개구리알을 떨렁 얻어오신거에요
P1 	: 누가줬어~ 이러시면서 ㅋㅋ
P1 	: 이미 엄마는 그때부터 고생을 예감하셨죠 ㅋㅋ
P0 	: 아..그건 나도 싫으네요.곤충을 안 좋아해서 그런거 갖고 오면 기절할듯..
P1 	: 근데 또 딸들 보여주려그랬다고하고
P1 	: 와 저희엄마랑 똑같으시네요
P1 	: 곤충진짜싫어하시거든요
P1 	: 자식교육때문에 체험학습이다 생각하고 또 길럿어요
P1 	: 사실 관찰일지는 제가 썼지만 기른건 엄마시죠ㅜ
P1 	: 제 화초키우는 친구가 한말처럼 물시중이 고되다고ㄷㄷ
P0 	: 엄마가 되보면 알거예요.가족들의 취미가 결국은  엄마숙제가 된다는 현실을..
P0 	: 아빠는 퇴직하시면 딸이 나서서 정모라도 가입시키세요
P0 	: 집에 계시다간 맨날 엄마에게 구박당하실듯 해요.ㅠㅠ
P1 	: 근데 그거 아빠가 한번에 몰살시켰어요
P0 	: 사람들도 많이 만나고해야 아빠도 갱년기를 덜 겪으시구요.
P1 	: 엄마가 뒷다리 나올때까지 키운거
P0 	: 반전이네요~
P1 	: 엄마가 그때 너무 화가나서 울었던기억이나요
P1 	: 그냥 이모든게 다 한심해서
P0 	: 속상하셨겠어요..
P0 	: 엄마가 오히려 밖으로 나가셔야겠네요.
P0 	: 우울증올까봐..
P1 	: 내가 눈이 삐어서 너같을걸 믿고 결혼했다고
P1 	: 아빠를 쫓아내셨죠
P0 	: 그 동안 쌓였던게 폭발하셨군요.
P1 	: 그 몰살시킨 이유도
P1 	: 물갈아달랬는데 수돗물을 주셨어요
P1 	: 옆에 엄마가 염소빼놓은 물이 새통에 있었는데
