# FILE DATA
ID : MDRW2100032921
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 울산
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  3
contact_frequency  :  주 1회 미만

P0 	: 좋아하는 소설 뭐야?
P0 	: 아님 굳이 소설 아니더라도
P0 	: 좋아하는 책
P1 	: 오오오오오오오옹
P1 	: 일단 가장 감명깊게읽은책들이있는데
P1 	: 하나는 미비포유고
P1 	: 하나는 파피용...!!!!!!
P1 	: 베르나르베르베르는......천재일까...
P0 	: 파피용은 나도 읽어봄
P0 	: 사실 베르나르 소설 많이 안 봤는데
P1 	: 넘 오지지않냐
P0 	: 파피용이 거의 유일할걸
P1 	: 오
P1 	: 어땠어
P1 	: 책은
P1 	: 재밌었엉?!
P0 	: 재밌었던 거 같아
P0 	: 굉장히 빨리 읽었던듯..
P1 	: 오오오오
P1 	: 그치그치
P1 	: 두꺼운데
P1 	: 술술읽혀진다니깐
P0 	: 그런 글이 진짜 잘쓴거야...
P0 	: 살인자의 기억법 읽어봤어??
P1 	: 허거거걱 나 아직 영화만봤어
P1 	: 우허는 영화봤어?
P1 	: 책이랑 비슷하려나
P0 	: 아니 나는 책만 ㅋㅋㅋ
P0 	: 꽤 긴 책인데 앉은자리에서 다 읽었어
P0 	: 그... 정확히 말하면 누운 자리
P1 	: 누워서 읽으면안댜
P1 	: 눈나빠져
P1 	: 오옹오옹
P1 	: 내용이 그래도비슷하려나
P1 	: 마지막에
P1 	: 설경구가 할아버지로나오고 김남길이 살인자로나오자나
P1 	: 죽었던 남기르가 살아돌아오는듯하면서 보여줬는데
P1 	: 책도 그렇게끝나??
P0 	: 어...
P0 	: 그 여자 아빠가 범인이고
P1 	: 으앙
P0 	: 딸이 사실 자기 딸이 아니었던 거 같은데
P1 	: 책을 읽어야게ㅛ다
P1 	: 내용이다르구먼
P0 	: 헉 내가 너무 스포한 거 아니야??
P1 	: 아냐
P1 	: 아니야...
P1 	: (훌쩍
