# FILE DATA
ID : MDRW2100033298
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 여행

# SPEAKER_INFO
id : 1
age : 30대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기술직 종사자
sex : 남성
birthplace : 경북
principal_residence : 대구
current_residence : 경남
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 대전에서
P1 	: 얼마걸려요?
P1 	: 대전이랫쥬?
P0 	: 오래...
P0 	: 네
P0 	: 애매해요 ㅋㅋㅋ
P1 	: 케텍스 있지않나요?
P0 	: 음 근데 가서 이동하기 불편하지않나요
P1 	: 저 여수 연애할때 갔엇는데
P0 	: 여수 오동도!
P0 	: 밤바닼ㅋㅋㅋ
P1 	: 가서 렌트 하면되지 않겠습니까
P1 	: 오동도 굿
P0 	: 아항렌트
P1 	: 저 곧 전화중국어해서
P1 	: 끝나면
P0 	: ㅋㅋㅋㅋ 와부지런허시다 중국어라니
P1 	: 답장드림
P1 	: ㅋㅋ하오
P0 	: ㅋㅋㅋㅋㅋ 취미신가..
P1 	: 취미입니다
P1 	: 언어 하나는 해볼려고요 ㅋㅋ
P1 	: 니하오
P0 	: ㅋㅋㅋ 얼마나되셧쥬
P1 	: 음 3일됫구요
P1 	: ㅋㅋㅋ사솔
P1 	: 사실 작년에 9개월했엇구
P1 	: 기사시험 친다고 잠깐 쉬엇더니만
P1 	: 다까먹어서
P1 	: 학사때 어학연수를 중국으로 갔엇네요 ㅋㅋㅋ
P1 	: 6개월 놀다가 왔는데 하나도 안하고
P1 	: 쳐놀다가와서
P1 	: 사람들이 물어보면 기본이라도 할려고
P1 	: 하고있네요 ㅋㅋㅋ
P1 	: 웃픕니다 아오 ㅋㅋㅋ
P0 	: 앜ㅋㅋㅋ3일ㅋㅋㅋㅋ 왜어학연수까지가셧어요??
P1 	: 아 무슨 외국인들 교류단체활동 좀 햇더만
P1 	: 가라고 해서
P1 	: 갔다왓죠
P1 	: 공짜고 뭐
P1 	: 그래서 갓는데
P1 	: 술만 맨날 쳐묵고 ㅋㅋ
P0 	: 와 신기하닼ㅋㅋㅋㅋ그래도 잼썻겟네요.. 공짜라니 ㄷㄷ
P1 	: 맥주만 한달에 만씨씨먹엇서요
P1 	: 미친자였음
P1 	: 만씨씨가 아니구나
P1 	: 하루에 3천씩
P1 	: 25일을 먹엇으니
P1 	: 암튼 잘놀다왓씁니다 ㅋㅋ
P1 	: 마사지도 정말 쌈
P1 	: 샘들 오시면 항상 같이 마사지받으러 갓서요
P1 	: 여자애들이 참 좋아했었어요
P0 	: 대박 ㅋㅋㅋㅋㅋㅋ
P0 	: 중국 어디요?
P1 	: 하얼빈 ㅋㅋ
P1 	: 얼어뒈질뻔
P0 	: ㅋㅋㅋㅋㅋㅋ거기가 춥군요
