# FILE DATA
ID : MDRW2100012208
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 남성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  가족>부부
intimacy  :  3
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 다이어트 하고 계신가요?
P1 	: 다이어트보다는
P1 	: 건강을 계선하는중입니다
P1 	: 다이어트는 부수적인 효과지요!
P0 	: 오호
P0 	: 어떤식으로 하고 계신가요
P1 	: 야식을 끊고! 당이 많이 들어간 간식을 대폭 줄였어요
P1 	: 그르고 집에서 틈틈히 운동을 해주고있어요
P0 	: 오 실행하신진 얼마나 되셨어요?
P1 	: 약 2주정도 된거같아요
P0 	: 효과는 어때요?
P0 	: 눈에 보이나용
P1 	: 확 눈에 보이는 효과는 아직인거같아요 그렇지만
P1 	: 체지방이 줄엇다는것은 어느정도 느껴지는거 같아요
P0 	: 뱃살이 덜 느껴진다거나 얼굴살이 빠진다던가 그런?
P1 	: 응!뱃살접히는느낌이
P1 	: 예전보다 얇아졌달까
P0 	: 얼굴은?
P1 	: 얼굴은 아직 변화가 없는것같인
P0 	: 저는 다이어트하니까
P0 	: 얼굴살부터 빠지던데
P0 	: 역시 사람마다 다른가봐영
P1 	: 저는 얼굴이 제일 나중에 빠지는거 같아요
P1 	: 빠져도 동그란건 어쩔수 없나봐요ㅠ
P0 	: 아 그래서 닉네임이 &name2&세요?
P1 	: 그건 아니에요ㅎ 그나저나 &name1&은 건강관리를 어떻게하시나요?
P0 	: 저는 안하는데..그나마 최근에는
P0 	: 건강식먹고 산책도 자주 하고 그랬네요
P1 	: 산책 좋은거 같아요!
P1 	: 어떻게 산책하시나요?
P0 	: 기냥 막 가요..안정하고
P0 	: 그러다 너무 힘들어지면
P0 	: 안되겠다 하고 돌아옵니다
P1 	: 코스를 정하고 해야하지 않을까요?
P1 	: 너무 무리해서 걸으면 그것만큼 피로해지는것도 있는것같아요
P0 	: 코스를 정해놓고 걸으면
P0 	: 이미 그 길을 아니까
P0 	: 나중엔 질려요..
