# FILE DATA
ID : MDRW2100038110
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 단모음

id : 2
age : 30대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅋㅋ지금하고계신가요?
P0 	: 네 그래서 대화하다가 에프를 더 돌려서 그런가
P0 	: 왜 수플레 케이크가 바삭하죠
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이런 ㅠㅠ
P1 	: 흠 ㅜㅜㅜ수플레는 언제 고수가되지 ㅋㅋㅋ 그래도맛은 괜찮지않나요
P0 	: 네 밀가루가 60그램 들어가는 주제에
P0 	: 버터 60에 설탕 60이 들어가는 레시피니
P0 	: 맛이 없음 혼내줄거에요
P1 	: ㅋㅋㅋㅋ 저도먹구싶네요
P0 	: 조아요 제가 딱딱해진 껍질만 떼서 드릴께요 ㅎㅎㅎ
P0 	: 농담이에요 ㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 안엔 갠찬나요
P0 	: 아직 안식어서 틀에서 빨 수가 없어요
P0 	: 안식었을때 막 두들겨서 빼면
P1 	: 아아아 ㅋㅋㅋㅋ
P0 	: 머랭을 많이 취어서 넣는거자나여
P1 	: 그죠그죠
P1 	: 틀은 사신건가요
P0 	: 그래서 식음쪼그라들어용
P0 	: 네 ㅋㅋ
P1 	: ㅋㅋ 오븐욕심 안나시나요
P0 	: 욕심입니다 ㅋㅋ
P1 	: ㅋㅋㅋㅋㅋ
P1 	: 스콘 구워보세용 쉽고맛나요
P0 	: 아 뭐가 덜갔네요
P0 	: 내가 안사고
P0 	: 남이 사주면 좋겠다 정도의
P0 	: 욕심입니다
