# FILE DATA
ID : MDRW2100032039
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 경기
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 오 넷플릭스에서 나온 것 중엔 뭐가 젤 재밋으셨어요
P0 	: 킹덤이죠 역시
P0 	: 두둥
P1 	: 역시 킹덤이 최고죠ㅋㅋㅋ
P1 	: 너무 좋아요
P0 	: 주지훈
P0 	: 마약했어도 캐스팅되는 이유가..
P1 	: 확실히 그 분위기는 주지훈밖에 못낼거같아요
P0 	: 진짜 세자 최고...
P1 	: 이번에 아신전도 보셨겠네요
P0 	: 네 아신전은 불편했어요
P0 	: 조선 나쁜것들ㅠ
P1 	: ㅋㅋㅋ그니까요 전지현 역할 너무 이해되고
P0 	: 저같아도 죽였습니다ㅋㅋ
P1 	: 아직 시즌3 촬영하는지 안하는지 모르겠네요
P0 	: 아직일거에요 ㅎㅎ
P1 	: 아ㅠㅠ 더 기다려야되는구나
P1 	: 무서운 거 잘 보시나봐요
P0 	: 욕하면서
P0 	: 봅니다 ㅋㅋ
P1 	: ㅋㅋㅋㅋ눈 가리면서?
P0 	: 가리지는 않아요
P0 	: 화들짝은 합니다 ㅋㅋㅋ
P0 	: 예전에 곡성보다가 영화관에서 소리 질렀어요
P1 	: 앜ㅋㅋㅋ
P1 	: 곡성은 막 되게 무서운 장면은 없지않나요
P0 	: 그 곽도원이 차에서 스킨십하다가
P0 	: 딸한테 걸릴때 ㅋㅋ
P1 	: 아....
P1 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 곡성에서 것도 나름 공포포인트네요 ㅋㅋㅋㅋㅋ
