# FILE DATA
ID : MDRW2100018338
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 기타 사회 생활 및 활동>동호회/봉사 단체

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 평상시에 봉사활동 하시나요?
P1 	: 어멋..아뇨ㅠㅠ부끄럽지만.. 봉사활동 마지막으로 한게 회사에서 단체로 남산 미화활동 하러 간거였어요 ㅋㅋㅋ
P1 	: 봉사활동 하시나요?!?!
P0 	: 좋은 일 하고 오셨네요~ 그치만 남산 올라가기 힘드셨을 것 같아요........
P0 	: 아뇨 저도 부끄럽지만 안 합니다....ㅠㅠㅠㅋㅋㅋ
P0 	: 학생 때 이후로는 전혀 기억이 없어요.....ㅋㅋㅋ
P1 	: 앗 네 저도ㅋㅋㅋㅋㅋ학생때나 회사 소속으로 하는거아니면 ㅠㅠ ㅋㅋㅋㅋㅋ
P1 	: 동호회나 동아리 하시는건 있나요?!
P0 	: 아뇨 ㅠㅠ그런 자리를 조금 부담스럽게 생각하는 편 같아요!
P0 	: 하시는 활동 있으세요?
P1 	: 아뇨ㅠ저도 집순이라 ㅋㅋㅋㅋㅋㅋㅋㅋ 찾아볼 생각조차 해본적이 없네요 ㅋㅋㅋㅋㅋㅋ
P1 	: 그래도 대학생때는
P1 	: 태권도 동아리 했었습니다!!!
P0 	: 우와! 태권도!! 태권도 단도 따셨나요?
P1 	: 노란띠였나 ㅋㅋㅋㅋㅋㅋ 아주 걍 초딩보다도 못하는 수준이었습니다 ㅋㅋㅋㅋㅋㅋ
P1 	: 근데 같이 운동하고 그런게 재밌긴하더라구요 ㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 맞아요 같이 하는 의미가 있는거죠!
P0 	: 동아리 같은 모임 열심히 하시는 분들 보면 다들 인싸 같아요......
P0 	: 그런데서 친구들도 많이 사귀고 하시던데 저도 집순이라ㅠㅠㅋㅋㅋㅋ
P1 	: 그니깐요 신기해요 ㅋㅋㅋㅋㅋ 오픈채팅방같은데서 동호회같이 만나기도 하더라구여?? 진짜 그거듣고 넘 신기해서 ㅋㅋㅋㅋㅋㅋ
P1 	: 저는 집순이 생활이 넘 좋답니다
P0 	: 어 맞아요 제 주변에도 있어요 ㅋㅋㅋㅋㅋㅋ어색할 거 같은데...ㅠㅠㅠㅋㅋㅋㅋ
P0 	: 집순이 모임 같은건 없겠죠?ㅋㅋㅋㅋㅋㅋ
P1 	: 저 들은 얘기중에 ㅋㅋㅋㅋ 사실 저런 오픈채팅방은 남녀 만나려고 모이는것도 있다보니까 ㅋㅋㅋㅋㅋ 싸움난 얘기도 들어봤어요 ㅋㅋㅋㅋㅋ
P1 	: 집순이 모임같은게 있으면 좋겠다고 집순이는 생각만합니다~~ 절대 실행하지않아욬ㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ 앜ㅋㅋㅋㅋㅋㅋ 역시 그렇죠? 주 목적은 그럴거 같긴 해요... 싸움 얘기라니 흥미진진해지네욬ㅋㅋㅋㅋ
P0 	: 저격 같은 것도 나올까요....험담은 물론 나올거 같고 이야기 많을거 같아요 ㅠㅠㅋㅋㅋ 그 안에서도 ㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋ 집순이 모임 있으면 온라인 참가는 다들 열심히 하지 않을까 생각해봐요....
