# FILE DATA
ID : MDRW2100043395
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 전남
principal_residence : 충남
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 불닭볶음면 먹고싶어요
P1 	: 치즈뿌려서
P0 	: 누누님 이건 비밀인데 한 턴씩 빠르게 주고받기에 세미 스무고개가 엄청 좋은 거 아시나요
P1 	: 전자레인ㅣ에 녹이고
P1 	: 세미 스무고개가 뭔가요?
P0 	: 예를 들어 서로 음식 메뉴 맞추기를 한다 치면
P1 	: 네네
P0 	: 매운음식인가요?
	  아니요 안 매운 음식ㅇ이ㅖ요
	  한식인가요
	  네 한식입니다
	  
	  이런 식으로 팟팟팟 주고받으면 진짜 빨리 차거든요! 해보실래요?!
P0 	: 질문 답변 한 줄씩 핑퐁하면 끝내줘요(...)
P1 	: 헐 대박
P0 	: 콜?!
P1 	: 제가 맞춰봐도 될까요
P1 	: 뜨거운 음식인가요
P0 	: 좋아요! 판 갈겠슴다 후후
P0 	: 헉 저 저녁 후다닥 먹고 와도 될까요
P1 	: 삼겹살은 당연히
P1 	: 네네
P1 	: 다녀오세요~
P0 	: 그리고 이벤트 내일 오전에 조기종료래료(...)
P0 	: 오늘 최대한 같이 채우실래요?
P1 	: 네?
P1 	: 왜 갑자기
P1 	: 종료...?
P0 	: 제출한 갯수 확인 페이지 들어가보세요! 낼까지래요
P1 	: 헉 전지금 113개 제출했어요
P1 	: 생각보다 자금이 많이 들어갔나봐욬ㅋㅋ
P0 	: 저 저녁 먹고 왔어요!
	  그러니까요 ㅋㅋㅋㅋ 예산이 동났나봐요
	  몇 개까지 채우실 생각이세요?
P0 	: 전 지금 210개 했어요
P1 	: 저 150개요!!
P0 	: 헉 그럼 40여개 쯤 스피드런 같이 해요!
P0 	: 몇시까지 가능하세요?????!!!!!!!!?!?!
P0 	: 아니다 언제부터 가능하세요!!
P1 	: 저중간중간 들어와서 하구
P1 	: 지금도 하고계시나요ㅋㅋ
P1 	: 저 여러명 걸쳐있어서
P0 	: 네! 저는 열심히 마지막 날을 불태우려구요
P1 	: 목표치 끝나셨으면 먼저 가셔도되어용
P1 	: 앗 그래서
P0 	: 다들 스무고개 하자 해 보세요ㅋㅋㅋ편해요ㅋㅋㅋㅋ
P1 	: 오늘저녁은 어떤것이죠
