# FILE DATA
ID : MDRW2100040331
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 악ㅋㅋ슬픈표정으로드셨다면..사연있어보였을지도...ㅋㅋㅋ
	  혼곱하면 화사생각나네요ㅋㅋㅋ
P1 	: 집주윛곱창집들ㅋㅋㄱ다 곱창없다고
P1 	: 붙어있더라구요
P0 	: ㅎㅎ  화사  효과가 어마무시했쥬
P0 	: 곱창도...안드시는거 압니다ㅎ
P1 	: 그렇습니다..
	  ㅋㅋㅋㅋㄱㅋㅋㅋ
	  회식으로양곱창맛있는데갓던적있었는데
P1 	: 저는 맛없어서 2차에서 몰아먹었습니다ㅋㄱㅋㅋㅋㄱㄱ...
P0 	: 아ㅜㅇㅜ
P0 	: 곱창이 1차면 2차는 빈약했을텐데
P1 	: 2차는삼겹살갔습니다ㅋㅋ  제가먹을수있는곳으로..ㅋㅋㅋㄱㅋ
P0 	: 아니ㅋㅋ 거기 진짜 좋은 곳이네요
P0 	: 1차 곱창 2차 삼겹이라니ㅎㅎ
P0 	: &name2&님 혹시 회장님 딸인가욧!!
P1 	: 웃긴건저러고3차참치회먹으러갓어여
	  ㅋㅋㄱㅋㅋㅋㅋㅋㄱㅈㅋㅋㄱ사장님이 취하면 돈을막썼어여..ㅋㄱㅋㅋㅋㄱㄱㅋ
P0 	: ㅋ..ㅋ..
P1 	: 아니 근데 참치회 못먹어서 구경햇거든요...
P0 	: 거어기 혹시 잡일할 사람 안 필요한가요
P1 	: 그러니까 마무리로 카페라도 갔다가라며 카드주심ㅋㅋㅋㅋ
P1 	: ㅋㅋㅈㄱㅈㅋㅈㄱㅈㄱㅈㅋㅈㅋㅈㄱ
P0 	: 메뉴는 참 좋은데ㅎㅎ
P1 	: 중요한건 이제 그만두었죠
P1 	: ㄱㅋㅈㄱㅈㄱㅈㄱㅈㄱㅈㄱㅈㅋ
P0 	: 아니ㅋㅋ 거기 신의 직장인가요!!
P0 	: 아앗
