# FILE DATA
ID : MDRW2100027535
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경북
principal_residence : 울산
current_residence : 광주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 음 회사일?
P0 	: 책임감 강한거?
P1 	: 일단,책임감 강한거 칭찬
P1 	: 반대로,회사일만 책임감있게 한다?
P0 	: 사실 회사도 그냥 책임감있고 시키는일 우직하게하시는 스타일이지
P0 	: 수완이 좋거나 눈치가 빠르지는 않으셔서
P0 	: 그냥 성실하셨어요
P0 	: 맨날 네시에 일어나서 다섯시에 출근하시고
P1 	: 진짜 성실하신건 맞네요
P1 	: 근데,보통 딸들은 아빠에게서 남편감 기준을 잡게 되거든요.
P0 	: 전 그래도 아빠한테 감사해요
P1 	: 아빠같은 스타일의 남자랑 결혼한다
P0 	: IMF때도 가정건사하셨고
P1 	: 또는,절대 안 한다
P0 	: 지금도 일하고 계시고
P0 	: 아 근데 그거하나는 좋았던듯요? 너무 아무것도 모르니까 일절 잔소리는 안하셨어요
P1 	: 가정의 행복이 경제력이라는게 밑받침되야 유지되는게 불변의 진리죠
P1 	: 잔소리안해도 잘 했겠죠
P0 	: 아 그것도있겠죠? 앗 어찌아셨지? ㅋㅋㅋ
P0 	: 와 진짜 결혼하신분들은 딱 아시는구나 ㅋㅋ
P0 	: 아 그리고 아침밥 안드셨어요 ㅋㅋ
P1 	: ㅋㅋ 그것도 장점?
P1 	: 웃겨요
P0 	: 밥시중이 고되다고 ㅋㅋ
P0 	: 아 솔직히 엄마가 요리는 좀 괴상하게 하시는데 그것도 잔소리 안하시고?
P1 	: 반찬투정 안하면 고되진않는데..
P0 	: 반찬투정했다는 아빠들 이야기듣고 저는 되게놀랐던기억이나요
P1 	: 그건 큰 장점이구만요~~칭찬스티커 하나드려야겠네
P0 	: 아빠들은 원래뭐든 잘먹는거 아니었어? ㅋㅋ남는건 당연히 아빠가다먹는거고
P0 	: 망한것도 당연히 아빠가먹는거고 ㅋㅋ
P1 	: 이런 ,이런~~~
P0 	: 그리고 사실 제일 장점은 자식이랑 아내한테 돈쓰는건 안아까워하세요
P0 	: 저희집이 부자여서가 아니고요
P0 	: 본인한테는 나는 취미도없으니 돈안써도됀다 스타일이셔서
