# FILE DATA
ID : MDRW2100011967
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  가족>부부
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 하비 운동하는거 까페에 있길래 어제 폰보면서 따라했거든
P1 	: 하체비막
P1 	: 만
P1 	: 운동하면 갑자기 근육이 팍 살잖아
P0 	: 응응
P0 	: 언니 하체비만도아니구만
P1 	: 애들 재우고 나오더니 갑자기 신랑이
P0 	: 응 그렇지ㅋㅋ
P1 	: 종아이 알이 오늘따라 왜 도드라져 보이냐고 ㅋㅋㅋㄱㅋㅋ
P1 	: 깜짝 놀랐다고
P0 	: 아 웃겨ㅋㅋ
P1 	: 왜 튀어나올라하노 카면서 ㅋㅋㅋㅋㅋㄱ
P0 	: 아 진짜 너무웃긴다ㅋㅋ
P0 	: 신랑은 언니 놀리는재미가 있나보다ㅋㅋ
P1 	: 가
P0 	: 아휴 영 그렇네ㅋㅋㅋ울신랑은 저번에 내보고 살찌라고 막 하더니
P0 	: 막상 살찌니깐ㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋ아
P0 	: 언제였더라? 내가 막 화가나서
P0 	: 누워있었거든?
P0 	: 옆에와서 막 안는거야. 근데
P0 	: 하는말이
P1 	: 응 ㅋㅋㅋ
P0 	: 아구 옛날엔 다 잡히고 막 힘없어서 들리고했는데
P0 	: 지금은 버티면
P0 	: 못들겠다구
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 화난사람한테 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 빵터졌음ㅋㅋ
P1 	: 발로 차라
P0 	: 요즘 살만하나?
P0 	: 이럼ㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 여유가 있네
P0 	: 그러이  근데 나도 웃겨서
P1 	: ㅋㅋㅋㅋㅋㄱㅋㅋㄱㅋㄱ
P0 	: 막 웃었지뭐ㅋㅋ
P0 	: 살찌라매? 캄써 ㅋㅋ
P0 	: 둘다 막 웃음ㅋㅋ
P1 	: ㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 원하는대로 해드림
