# FILE DATA
ID : MDRW2100026819
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 뭐??
P1 	: 근디 그거 그림체는 귀여운데
P1 	: 내용은 무서운거라
P1 	: 더 무서움
P0 	: 맞아ㅋㅋㅋㅋㅋ
P0 	: 그그
P0 	: 사신 나오는편인데
P0 	: 어른은 안죽이고
P0 	: 어린이들만 따라다니는..
P1 	: 헐
P1 	: 듣기만해도 무섭다
P1 	: 난 그 터널에서
P0 	: 내가 그때 초딩이었어서ㅋㅋㅋㅋ개무서웠어
P1 	: 귀신이 운전자 다리잡고
P0 	: 으으으억
P1 	: 뭐 그런편 무서웠음
P1 	: 근데 무서운게 딱 좋아 알제
P0 	: ㅇㅇㅇㅇㅇㅇㅇㅇ당연하지
P1 	: 그거 웹툰으로 나왔잖아
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 맞아
P1 	: 나 별로 안무서울줄 알았는데
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 너무 무섭더라
P0 	: 개무서움
P1 	: 그니까
P0 	: 내가 그거때문에 초딩때
P1 	: 어우
P0 	: 거울을 제대로못봤음
P1 	: 응응ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 거울 관련해서 무서운 에피소드들이 너무많아서..
P1 	: 맞아맞아
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ너무무서웠다
P1 	: 막 거울로 귀신 들어왔다 나갔다 하고
