# FILE DATA
ID : MDRW2100034687
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 인천
principal_residence : 서울
current_residence : 인천
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 우와 타투!!!!
P0 	: 세번쯤 참고 악세사리에 했거든요
P1 	: 전 아픈거 무서워하는 쫄보라 헤나 정도 도전했습니다
P1 	: 크
P1 	: 멋져요
P1 	: 악세사리는.. 내 피부의 연장선이쥬
P0 	: 저도 없어요ㅠ몸에 하려다 악세사리에 한거에요ㅜ
P0 	: 타투 하고싶어요!
P1 	: 오 어디 하고싶으세요?
P0 	: 저는 손이나 허리쪽이요
P0 	: 직장에 팔뚝뒤에 얼굴 겁나크게하신 분이 계신데 멋지더라구요
P1 	: 오오...
P1 	: 손가락처럼 자주 씻는곳은 빨리 지워진대요
P0 	: 네 그래서 허리는 어떨까 고민해보았습니다ㅋㅋ
P0 	: 헤나는 휴가가시면서 하신거에요?
P1 	: 네 그것도 십년 전이에요 ㅋㅋ 요새는.. 그냥 가죽입니다
P1 	: 해외여행가면서 친구랑 맞춰서 손부터 팔 아래쪽까지 문양을 넣었어요 싱기방기
P0 	: 오 멋져부러
P0 	: 그런게 추억이죠
P0 	: 타투는 새기면 지울때 넘 아픈 추억인거구요ㅋㅋ
P1 	: ㅋㅋ새기면 못지우는 미용 액션이죠
P1 	: 레이저로 지워두 흔적이 남는다며요
P0 	: 네 그리고 으엄청 아프대요
P0 	: 등짝 가득 하신분은 진짜 대단하고 돈도 많으신..
P1 	: 피도 많이 나나 보더라고요
P1 	: 한동안 그 타투 디자인하시는 분들 사진이 인스타에 떠서 봤는데.. 아파보였어요..........
P1 	: 그렇겠죠 바늘로 계속 찌르는 거니까.......
P0 	: 네 사진은 이쁜데 주변에 피부가 시뻘겧게 돼서..
P0 	: 지금 거리두기가 3단계로 내려갔는데요
P0 	: 헬스장이 너모 가고싶어요..
