# FILE DATA
ID : MDRW2100004670
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 전북
principal_residence : 전북
current_residence : 대전
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세요! 혹시 유튜브에서 어떤 채널들을 구독하고 계시나요? 강아지를 키우시는만큼 귀여운 반려견채널들을 구독하실거 같아요~
P1 	: 안녕하세요~ 전 몽자 구독하고 있어요!
P1 	: &name1&님은 즐겨보는 유튜브 채널 있으신가요?
P0 	: 아 몽자 너무 귀여워요!!! 구독은 안하고 알고리즘에 뜰 때 종종 보는데 그냥 사람 같아요 ㅋㅋㅋ
P0 	: 저는 애견채널은 음 순돌이와친구들 종종 보고 있어요! 댓글들도 푸근해서 맘이 편하더라고요
P0 	: 반려견채널 말고는,. 해쭈 즐겨보고 있어요
P1 	: ㅋㅋㅋㅋ몽자 표정이나 하는 행동들이 가끔은 사람보다 더 사람같아서 너무 귀엽죠ㅋㅋㅋ
P1 	: 해쭈는 어떤 채널인가용?
P1 	: 궁금해요~.~)~
P0 	: 해쭈는 호주 교민분 일상+요리?? 브이로그 채널이에요!
P0 	: 해쭈를 포함해 모든 가족이 다 유쾌해서 웃고 싶을 때 보고 있어요~
P1 	: 아 저 방금 유튜브에 검색해보고 왔는데
P1 	: 이 분이 해쭈셨군요!!!!!
P1 	: 알고리즘에 자주 떠서 몇 번 보던 분인데
P1 	: 괜히 반갑네요ㅎㅎ
P0 	: 아 자주 떴구나 ㅎㅎㅎㅎ 진짜 재미있어요~~!! 약간 호주물에 뭐 풀어놓아서 저렇게 웃긴건가 의심하게 돼요 ㅋㄱㄱㄱㄱㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ앜ㅋ 그럼 저도 호주가서 호주물 마시면
P1 	: 저렇게 재밌어질 수 있으려나요ㅋㅋㅋ
P1 	: &name1&님은 요즘 자주 듣는 노래 있으세요?
P0 	: 저 그래서 코로나 끝나고 호주물 마시러 갈 적금 만들었습니다,,.!!! ㅋㄱㄱㄱㄱㄱ ㅋ
P0 	: 저는 요즘 딱 꽂혀서 듣는 노래는 없고 유튜브에서 아무 플레이리스트나 틀어놓고 있어요 ㅋㄱㅠ
P0 	: 혹시 좋은 노래 좀 추천 해주실 수 있나요???
P1 	: ㅋㅋㅋㅋㅋㅋ아니 행동파셧군요 벌써 적금까지 만들어놓으시다니
P1 	: 전 신곡은 잘 안듣고 예전에 듣던 노래만 듣고 있어요ㅋㅋ
P1 	: 사실 요즘 노래 잘모른답니당ㅠ
P0 	: 앗 저도요!! ㅋㄱㄱㅋ 제가 듣는 케이팝은,,.에프엑스에서 끝났다고요 ㅋㅋㅠ
P0 	: 뭘 열심히 스밍하고 그런건 못하겠어요
P1 	: 앗ㅋㅋㅋㅋ 저랑 비슷한 나이대이신 것 같은데ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋ전 엑소까지는 찍고 내려왓습니다
P1 	: 에프엑스도 엄청 좋아했어서ㅠㅠ 신곡 기대했었는데ㅠㅠ
P0 	: 엥? 나쁜말 안보냈어요 오해 말아주세요 ㅠㅜ
P0 	: 전,,.착한 에프엑스 신곡 기다리는 시민 1이라고요 ㅠ
P0 	: 언젠가는,,.,.,.나올거라고 믿고 있어요
