# FILE DATA
ID : MDRW2100004597
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : PC(데스크탑/노트북)
keyboard : 기타

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 요즘 서울 댕로에서 해적이 유명하다던데 보셨나요?
P1 	: 하..해적 보고싶엇는데요....
P1 	: 하..코로나쉑이...
P1 	: 그리고 제 자리가 ..
P1 	: 하...
P1 	: 저 뮤지컬좋아해요...
P1 	: 이렇게 급발진하는거 너무 오타쿠같지않나요...
P1 	: 하지만 좋은걸어떡해...
P0 	: 괜찮아요 저도 트친이 맨날 해적보라고 바짓가랑이 잡고 안 놔줘요
P0 	: 부산 사는 사람한테 말이야
P0 	: 지방은 인프라가 너무 후져요..
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ부산은 진짜 끝에서끝이네요...
P1 	: 뮤..가끔지방 오면 미친듯이 돌아야해요...
P1 	: 전에 어쩌다 표를 두개 예매해버려서 친구한테 같이 보러가자했는데 거절당했었어요
P0 	: 안그래도 인프라 적은데 목마른 지방인들 몰려서 서울보다 티켓팅 힘들어요
P1 	: 그친구가 대학원생이라....
P0 	: 와 저한테 물어봐주세요 당장갈게요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그때 자리도 진짜 좋았는데..
P1 	: 결국 한자리취소하고 혼자봤어요...
P0 	: 너무 슬퍼요.......
P0 	: 저를 불러주세요........
P0 	: 대학원생 배가불러가지고말야
P0 	: 떼잉~
P1 	: 마저요...떼잉~~~~~~
P0 	: 그 때 봤던 뮤는 무슨 극이었나요?
P1 	: 키다리아저씨....
P1 	: 아니들어봐요...제루샤가요....
P1 	: 우리제루샤가...
P1 	: 첫 넘버가
P0 	: 제루샤가 극에서 무슨 역인가요?
P1 	: 자기가 고아원 제일큰언니라고...
P0 	: 하..
P0 	: 내여친
P1 	: 눈물이 좍좍
P1 	: 키다리 누가 일상힐링극이라고 했어...!!!!
P1 	: 시작부터 눈물좍좍뽑고
P1 	: 끝날때까지울었어요...
P1 	: 하....
P0 	: 언제나 그랫듯 배신당하는 오타쿠
P1 	: 크아아악
