# FILE DATA
ID : MDRW2100041195
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 저 오늘 올리브영 할인이라..
P0 	: 6만원 털리고 왔슴다..
P1 	: ㅋㅋㅋ 어떤 거 사셨어요?
P0 	: 저 팩만 이만원어치 샀어요..
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ휴..
P0 	: 그리고 스킨.. 뜬금업ㄱ이 전동칫솔..
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 환절기니까 팩은 잘 쓰시겠네요ㅋㅋㅋ
P0 	: 그러게요.. 열심히써야겠어요
P0 	: 집에 안그래도 쟁여둔게 있는데 또 이렇게 사버리다니..!
P0 	: 사고싶은 물건이나 최근에 사신 물건 있으신가요?
P1 	: 전 빵 샀어요ㅋㅋ
P1 	: 어제 밤만쥬랑 치즈파이 같은 거 하나씩 사먹었어요
P0 	: 헐 빵 너무 맛있겎어요!
P0 	: 저 갑자기 에센스 너무 사고힢은데
P0 	: 아껴야겠죠..
P1 	: ㅋㅋㅋㅋ갑자기 소비욕구가 들 때는 일단 좀 참아봐야해요
P0 	: 비가와서 나갈수없으므로
P0 	: 자동으로 참아지네요!
P1 	: ㅋㅋㅋㅋㅋ 저도 비 오면 집 밖으로 못 나가요
P0 	: 비오명 정말 나가기싫어요..
P0 	: 결국 운동도 가지못했습니다..!
P0 	: 올리브영 할인은 이번주까지갰죠..?
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 전 올리브영 거의 안 가서 모르겠어요
P0 	: 저도 자주 안갔었는데
P0 	: 갑자기
P0 	: 한번가니까
P0 	: 약간 입터지듯이 계속 가고힟어요..
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 과소비 참아야해요!!
