# FILE DATA
ID : MDRW2100040941
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 해외/기타
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 샤이니는 정말 전무후무한 것 같아요
P1 	: 맞아요ㅠ
P1 	: 태민이 엄청 말라서
P1 	: 뭐든 소화해내는 거 같지 않나요
P0 	: 헐 맞아요 ㅠ.^ 솔직히 아이돌들 엄청 마른 거 보묜
P0 	: 마음 아파서 좀 그런데 확실히 무대할 때
P0 	: 선이 예쁘더라고요!
P1 	: 맞아요 맞아요
P1 	: 무용수들이 괜히 마른 게 아니구나 생각하게 되는...?
P1 	: 별로 먹지도 못할텐데 어떻게 그렇게
P1 	: 춤을 부숴져라 추는지!!!
P0 	: 그니까요 저엿음 3분 추고 30분 누워있었을 걸요 -.- ?
P1 	: 아 ㅋㅋㅋㅋㅋ 맞아요 저도요!!!!!
P1 	: 물론 반의 반의 반도 흉내 못내지만...{emoji:☆}
P0 	: ㅋㅋㅋㅋㅋㅋ ㅠ.^
P0 	: &name2&님 춤추는 영상 보는 것도
P0 	: 좋아하세뇨?!
P1 	: 네네네!!!!!
P1 	: 근데 이상하게 스우파는
P1 	: 잘 안보게 되더라구요...ㅜ
P0 	: 헐... 저 그거 진짜 좋아하는데...!
P0 	: 댄싱나인은 혹시 보셨었나요?!
P1 	: 그것도 보다가 말았던 것 같아요ㅠㅠㅠㅠㅠ 흐엉
P1 	: 근데 그 뭐지
P1 	: 텐 나온거
P1 	: 그거는 좀 봤었어요!!!!
P0 	: 아 그 힛 더 스테이지??!?! 맞나요!!!
P0 	: 앗 거기도 태민 나오지 않..았었나요?!?!
P0 	: 아닌가?
P1 	: 힛 더 스테이지!!! 맞아요
P1 	: 아 태민 나왔던걸로 기억해요!!!
P1 	: 그 안무가랑 같이 무대했던 기억이?!
P0 	: 아 맞다 맞다 ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 기억나네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: &name2&님 배우는 좋아하는 사람 없너요?!
P1 	: 배우!!!
P1 	: 저 있었는데
P1 	: 막상 이렇게 누가 물어보면
P1 	: 갑자기 생각이 안나욬ㅋㅋㅋㅋ
