# FILE DATA
ID : MDRW2100035879
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: ㅋㅋㅋ넌 깁콘좀잇지않아?
P1 	: 오ㅏ우 ㅋㅋㅋ!!
P0 	: ㅋㅋ나 기프티콘은 저번달에 다 털었음 ㅠㅠ
P0 	: ㅋㅋㅋ배라각 2만원이 목표였는데 실패다..
P1 	: 해피볼은 다받앗나유?
P1 	: 난 매일 100포엿음 ㅡㅡ
P0 	: ㅋㅋㅋ넵!! 나도...나 어제는 200포였나?ㅋㅋㅋㅋ암튼....그래봤자  ㅜㅠ
P1 	: 진짜 ㅠㅠㅠ천 2천도 나오더만 쩝
P1 	: 무튼 5천포오늘언제넣어주나 .
P0 	: ㅋㅋ그러게 빨리 넣어주라 주문하게!!!
P1 	: ㅋㅋㅋㅋㅋ 아오 난 왜케 비염이 생겻디
P0 	: 계절이 바껴서 그런가?!!
P1 	: 긍러게알러지약은.안보이고
P1 	: 코감기약먹음 콧물이너무나옹당 ㅠㅠ
P0 	: 병원갔다와 ㅠㅠ이번주 백신맞는데 컨디션 좋아야지!!!
P1 	: ㅠㅡㅠ 병원가면 약을 넘 많이 처방해주던데ㅠㅠ
P1 	: 무툰 베라각이랑 스벅각
P1 	: 광고적용되다안되다한다 ㅋㅋ뭔가 걸리다안걸리다인가 ㅋㅋ
P0 	: ㅁ요즘 동영상 광고도 넘많아!!!
P1 	: 약빨온다 ㅋㅋㅋㅋ
P1 	: 내가폰을 좀 디져보고싶군
P0 	: ㅋㅋㅋ흑흑 ㅠ 놀러갈때 다 챙겨서 갈겡ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋ제본기 출력물은 괜찮은데
P1 	: 나 판서노트칼대고 망함 ㅋㅋㅋ
P1 	: 생각해보니 책은 할수가없더균...그걸 ㅋㅋㅋㅋㅋ나중에깨달은거지 내가구렇치뭐
P0 	: 헐! 왜? 책도 되지!!!!
P1 	: 책을 먼저 낱장으로짤라야해.....ㅋㅋㅋㅋㅋㅋ
P1 	: 뜯어야하는거쥬ㅠ ㅋㅋㅋ
P1 	: 경북쿠폰쓰?
P1 	: 5000포해포들어와땅
