# FILE DATA
ID : MDRW2100006624
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부모-자녀
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 쇼핑하고 싶다
P0 	: 쇼핑
P0 	: 살것
P0 	: 건두부
P0 	: 또 뭐있지
P0 	: 푸주?
P0 	: 훠궈 양념
P1 	: 다 먹을거
P0 	: 먹을거밖에 살거없어요샌
P0 	: 집 밖에 안나가니까 먹는걸로 사는거지
P1 	: 맨날 먹어
P0 	: 치킨먹자 내일
P0 	: 아니 돈까스
P1 	: 그래
P0 	: 저번에 사준 골프파우치 안써서 슬펐어
P0 	: 나빠
P0 	: 불편해도 써야지
P0 	: 딸이 사준건데
P1 	: 미안
P1 	: 어쩔수없었어
P1 	: 다른거 사줘
P0 	: 돈없어 ㅡㅡ
P0 	: 골프 그망해 이제
P0 	: 중고로 판매할거야
P1 	: 그래
P0 	: 골프 용품 다 비싸
P0 	: 골프가 돈많은 사람들만 해서 그래
P0 	: 그치
P1 	: 그런가
P0 	: 근데 우리는 없어
P1 	: 아니야 돈 있어 우리
P1 	: 쇼핑 갈까
P1 	: 백화점으로
P0 	: 사람 너무많아
P0 	: 무서워 ㅜ
P0 	: 코로나 빨리 끝나라
P0 	: 쇼핑 마음껏 하게
P0 	: 너무 슬프당..
P0 	: 백화점 지하에서 냉면 먹고싶다
P1 	: 또먹는이야기
