# FILE DATA
ID : MDRW2100025497
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기술직 종사자
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 남성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 와이드는 막
P1 	: 펄럭일까봐 걱정됨
P0 	: 청바지는 그래도
P0 	: 펄럭펄럭하는게 덜하지않나?
P1 	: 그러긴 하겠네?
P1 	: 내가 휴가때
P1 	: 좀 넉넉한 슬랙스를 샀는데
P0 	: 펄럭펄럭해?
P1 	: 막 다리에 휘감겨가지고
P1 	: 이상해서 환불했어
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 남자는 완전 와이드까진 아니고
P0 	: 적당한 일자핏까지를 많이입는거같기도
P0 	: 여자랑 패션흐름이 다른 것 같아
P1 	: 맞아 ㅋㅋㅋㅋ
P1 	: 여자가 옷종류도
P1 	: 훨씬 많은거같아
P0 	: 그치
P1 	: 남자건 옷 종류는
P0 	: 남자는 플라워패턴 원피스 이런게 없잖아
P1 	: 몇개 없음
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 입어봤자
P0 	: 모던시크..
P0 	: 댄디..
P0 	: 캐주얼정도
P1 	: 엄청 화려하게 입는다
P1 	: 해봤자 스트릿
P0 	: 그치
P1 	: 조거팬츠 사서
P0 	: 근데 스트릿으로 입고다니면
P0 	: 너무 시선을 많이 끌어섴ㅋㅋㅋ
P1 	: 스트릿 느낌나게
P1 	: 입문해볼까
P1 	: 캐주얼한 스트릿
P0 	: 내주변에 조거팬츠하면
P0 	: 생각나는사람한명밖에없어서
P0 	: 그사람느낌날거같은데
P1 	: !?
P0 	: 회색조거팬츠만 주구장창입고다니는
P0 	: 그분
P1 	: 누구..?
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그 있잖아
P0 	: 우리랑 친하고
P1 	: 회색조거는 너무 흔하다
P0 	: 오래사귄 여친이 잇ㅎ고
P0 	: 우리중에 나이 제일많은
P0 	: (이제알았겠지?)
P1 	: ...?
P1 	: (감 안옴)
P0 	: 답답
P0 	: 암튼 난 조거팬츠하면 그오빠가 생각나
P1 	: 아임 고구마
P0 	: 너무 편하게 맨날입고다녔어
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 나 이번에
P1 	: 8월 쿠폰으로
P1 	: 슬랙스샀어
P1 	: 청바지를 탈피해보겠어
P0 	: 슬랙스도 종류가
P0 	: 한두가지가 아니야
P0 	: 무슨슬랙스샀어
