# FILE DATA
ID : MDRW2100039000
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 또 있으세요
P0 	: 받은적이 있는데
P1 	: 차 났어요
P0 	: 응 내친구의 미모님
P1 	: 얼굴도 괜찮았고요
P0 	: 사주를 봐주시는분이
P0 	: 정말 괜찮은 사람있다며
P1 	: 희야 사수까지 나왔군요
P0 	: 소개를 해주셨조
P0 	: 그래서 만났는데
P1 	: 별로였나요
P0 	: 이분도 성격이 조금 소심하지만
P0 	: 선하시고
P1 	: 착한 건 차 기본 열어줘
P0 	: 외모는 그럭저럭
P0 	: 근데 키가
P0 	: 넘작고
P1 	: 부끄럽지 않으면 됐죠
P1 	: 백62야
P1 	: 꼼꼼하네
P0 	: ㅋㅋ내가 키 나만하고 잘생긴
P1 	: 꼬꼬마
P0 	: 오빠 아는사람있는데
P0 	: 성격이 엄청좋고 잘생겨서
P0 	: 키상관없이 인기많았음
P0 	: 여튼 그분이랑
P1 	: 성격 좋고 대화만 돼 대화만 되면
P1 	: 아니다 그래도 나보다 커야 되더라
P0 	: 데이트를 두세번했는데
P0 	: 나보단컸지
P1 	: 그럼 됐어요
P0 	: 내가 생각을 해벘어
P0 	: 이사람이랑
P1 	: 무슨 생각
P0 	: 키스를 할수있을까
P1 	: 중요하죠
P0 	: 그런데 못할거같은거야
P1 	: 키가 비슷하니까 쉽겠네요
P1 	: 어째서
P0 	: 그래서 다른분만나라고
P0 	: 했지
