# FILE DATA
ID : MDRW2100002526
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210820
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 부산
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 요새 즐겨보는 프로그램 있으세요?
P1 	: 저는 티비를 잘 안봐서
P1 	: 생각나는게없네요
P1 	: 순간님은요?
P0 	: 저는 슬의생이요ㅋㅋ
P1 	: 아하
P1 	: 그드라마
P1 	: 인기정말많더라구요
P1 	: 재밌나요
P0 	: 매회가 너무 갬동이에요 ㅠㅠ
P1 	: 저도 나중에 기회되면
P1 	: 봐야겠어요
P1 	: 저는 마지막으로 본 드라마가 뭔지
P0 	: 네 진짜 꼭 보세요ㅋㅋ
	  두번보세용
P1 	: 기억도 안나네요
P1 	: 뭐였더라...알함브라 어쩌고였나...
P0 	: 영화는요?
P1 	: 영화는 자주 봐요
P1 	: 며칠전엔 프리가이 봤고
P1 	: 최근에 본 영화중엔 모가디슈
P1 	: 넘좋았어요
P1 	: 보셨나요혹시
P0 	: 아니요ㅠㅠ 둘다 못봤어요
P0 	: 둘다 좋으셨나여?
P1 	: 프리가이는 그냥..가볍게 보기 좋았고
P1 	: 모가디슈는 코로나아녔으면 천만 찍었겠다 싶을 정도로
P1 	: 영화가 좋더라구요
P0 	: 와 그 정도인가요?ㅋㅋ
	  저 메모메모 할게요
	  꼭 보겠어요!!
P1 	: 근데..사람마다...취향이 다른거라..!!!!
P1 	: 기대하셨다가 실망하실까봐
P1 	: 걱정되네요ㅋㅋㅋ
P0 	: 에이ㅋㅋ 괜찮아요ㅋㅋ
P1 	: 암튼 못 만든 영화는 아녜여ㅋㅋㅋ
