# FILE DATA
ID : MDRW2100025229
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>형제자매
intimacy  :  4
contact_frequency  :  주 3회 이상

P1 	: 쿠키런 킹덤
P1 	: 재밋지않나
P0 	: 오 나그거하는데
P0 	: 잼씀
P1 	: 나하다가 접었는데
P1 	: 과금유도 너무 심해서
P0 	: 이번에 샤벳상어
P0 	: 뭐잘못되서
P0 	: 딸크랑 샤벳상어랑 우유맛 쿠기
P0 	: 쿠키
P0 	: 키운사람한테 키운비용다돌려준대
P1 	: 와우
P0 	: 또오류나서
P1 	: 손가락 노동 착취
P0 	: 이번에 에이션트 쿠키도 업뎃한다고
P1 	: 야
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 또 돈 쓰겠구만
P0 	: ㅇㅇ 과금하게 만드는듯ㅋㅋㅋㄱ
P0 	: 바다요정도 돈쓰기전까지 안나오던데
P1 	: 난 그 뭐지 바닐라맛 나오고 접었어
P1 	: 지혼자 다해먹어
P1 	: 어이없어
P0 	: 퓨바 지금도 희귀쿠키라
P1 	: 증말
P0 	: 없으면 아레나 망함
P1 	: 나중에 튜토리얼 걔네들만 남고
P1 	: 다 묻히겄어아주
P0 	: ㅋㅋㄱㅋㄱ그럴수도
