# FILE DATA
ID : MDRW2100010447
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 다른 장르도 즐겨보시는 거 있으신가요?
P1 	: 소설도 많이 보는데
P0 	: 대받 어떤거 보시나요
P1 	: 웹소는 현대 판타지나 로판 많이 봐요
P0 	: 그냥 소설도 괜찮아요
P0 	: 달러구트의 꿈 백화점
P0 	: 얼마전에 e북으로 서비스하길래
P0 	: 달리기 시작했어요
P1 	: 장르가 어떻게 되나요?
P0 	: 그거 판타지일겁니다!!
P0 	: 호평받아서 달리기 시작했어요
P1 	: 헉 한 번 찾아봐야겠어요
P0 	: 좋아하는 소설 있으세요?!
P1 	: 종이책으로는 소설 책 많이 읽었어요
P1 	: 히가시노 게이고 작품 좋아해요
P1 	: 아니 추리 소설이요!
P0 	: 허헙!!!!
P0 	: 추리소설!!!!
P1 	: 그냥 소설이라고만 보냈네요ㅋㅋㅋ
P1 	: 추리 소설 좋아하시나요?
P0 	: 저 추리..어 미스터리도 추리에 포함될까요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 미스터리 책도 좋아해요
P1 	: 재밌는 작품 있나요?
P0 	: 지금 생각나는건
P0 	: 그 별이지던 밤인가
P0 	: 그 장례식 때 쪽지를 발견했는데
P0 	: 딸을 해친 범인이 따로 있다고
P0 	: 아나 나쁜말이람서 안보내지네여
P0 	: 그래서 아빠가 범인찾는데
P0 	: 범인 누군지 뻔한데 감정선이 좋았어요
P1 	: 당신의 별이 사라지던 밤
P1 	: 이건 가요?
P0 	: 네네넵
P0 	: 마장요!!!
P1 	: 오 재밌을 거 같아요
P0 	: 추리 소설 읽다보시면
