# FILE DATA
ID : MDRW2100026518
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 학창시절 잼썼어요?
P1 	: 학교라,,, 넘옛날얘기하는거아닌가요?
P1 	: 그럼요 고딩이젤재밋엇음
P0 	: 아머야
P0 	: 전 중.딩때
P1 	: 중딩이면 20년전어닌가요
P0 	: 어허..
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그러지맙시다
P1 	: 중딩기억나요?
P0 	: 같이 늙어가는 마당에
P0 	: 나죠
P1 	: 오 기억력
P0 	: ㅋㅋㅋ
P1 	: 뭐가젤재밋엇나요
P0 	: 고딩땐 넘 힘들었어요 하기 싫은 공부도 하고
P0 	: 폰도 반에 둘만 없고
P1 	: 진짜그건좀
P1 	: 대단하다 어캐버텻어요?
P0 	: 중.딩때 애들이랑 맨날 축구하고 피방가고 해서
P1 	: 뭣모르고 놀앗던때엿네
P0 	: 글구 그땐 ㅇㄴㅇ
P0 	: ㅇㅇㅇ
P0 	: 생각 크게 안하고 놀아씅니
P0 	: 뭐 그때도 나름 고충이 있었겠지만
P1 	: 전 중딩때 수학 영어 과외받으러다녀서 별로
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 젤 약했던 시절이죠
P0 	: 헐ㅋㅋㅋㅋㅋ
P1 	: 넘싫엇움
P0 	: 음 저도 학원 두세개 다녔음ㅋㅋㅋ
P0 	: 고딩때는
P0 	: 진짜 7시 이전에 집에서 나와서
P0 	: 새벽 1시반에 들어감
P0 	: 매일
P1 	: 학교랑 집 멀엇어요?
P0 	: 15분?
P1 	: 저는 차로 20분?
P0 	: 헐
P1 	: 개,멀엇음
P1 	: 셔툴타고댕김
P0 	: 헐..
P1 	: ㅋㅋㅋㅋㅋ
P0 	: 과고나,외고였어요?
P1 	: 5시,반에일어남
P0 	: 고딩학교에 셔틀이라니
P1 	: 엥 그럴리가
P0 	: 와ㅋㅋㅋㅋㅋㅋ
P1 	: 아
P0 	: 레전드네
P1 	: 봉고
P0 	: 그럴리가는 또 뭐에요ㅋㅋㅋㅋㅋ
P0 	: 아
P0 	: 그 다같이 타는거?
P1 	: 넼ㅋㅋㅋ
P0 	: 돈내고?
P1 	: 그거안타면
P0 	: 아 그거 머라했지
P1 	: 4시반에일어나야댬
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 부르는거 있었는데
P0 	: 용어 아
P1 	: 봉고
P1 	: 아님?
P0 	: 님네는 봉고라함??
P1 	: 그랫던거같은데
P0 	: 아뇨 그 차 쉐어해서 같이타는거
P0 	: 차는 봉고였겠죠
P0 	: 암튼
P0 	: 패스
P1 	: ㅇㅇㅇㅇ 달에 7,8만원씩내고탐
P1 	: 자공고라고 알아요?
P1 	: 자율형 공립고
P1 	: 지금없어졋는데
P0 	: 자립형..
P0 	: 자율이구나
P0 	: 울동네도 하나 있었음
P1 	: 저입학할때 첨생김
P0 	: ㅇㅎ
P1 	: 일반고보다
P0 	: 저 댕길땐,울학교가 동네에서 젤 쎘는데
P1 	: 수학영어 과목비율이더많앗음
P0 	: 그거 생기고나서 공부 못하던 학교가 1등댐
P1 	: ㄹㅇ
P1 	: 우리학교공부개잘햇음
P0 	: 꼴지하던 학교가ㅋㅋ
P0 	: 그거되고나서
P1 	: 지금 10프로정도 의대감
P0 	: 동네 1등이라는 소리 듣고ㅋㅋㅋ
P0 	: 와ㅋㅋㅋㅋ
P1 	: 대단한거아님?
P0 	: 대단하네여 ㄹㅇ
P1 	: ㄹㅇ대단햇음 그래서내신완전포기
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 도쿄대도 가고
P1 	: 상상초월
P0 	: 와ㅋㅋㅋㅋ
P1 	: 그래서애들이
P1 	: 질은좋아요
P0 	: 맞음 좋은학교가야댐
P1 	: 일진놀이하는애들
P1 	: 1도없엇음
P0 	: 우리도 뭐 말이 일진이지
P1 	: 오히려 일진행세하는애들이
P1 	: 소외당햇음
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 혼자놀다가 자퇴함
P1 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 커서보니 그냥 장난 좀 심했던 애들정도
P1 	: 아무도안받아줘서
P0 	: 헐ㅋㅋㅋㅋㅋ
P0 	: 이야
P0 	: 클라스가 다르네
P1 	: 학교웃긴썰없어요?
P1 	: 우린개,많은데
P0 	: 웃긴썰이라
P0 	: 아 저 있음
P1 	: ㄱㄱ
