# FILE DATA
ID : MDRW2100025772
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 링피트는 얼마나 하셨어요?
P1 	: 링피트는 지금 두어달정도 했어요
P0 	: 저도 한 삼개월하고있는데
P0 	: 어때요? 몸이 좀 가볍지않나요?
P1 	: 처음에 했을때는 땀이 주륵주륵나고 힘들었는데
P1 	: 확실히 체력이 붙은 것 같아요!
P0 	: 저도 첫날엔 스테이지3개하고 헉헉거리면서 땀범벅이였는데
P0 	: 최근에는 끝판보스 깰때 말고는 그렇게 힘들진않았어요
P0 	: 적당히 힘든...?
P1 	: 저도 지금 그래요!
P1 	: 처음에는 강도도 약했던것 같은데
P1 	: 점점 갈수록 강도를 조금씩 높여주는 기능이 있어서 좋더라고요~
P1 	: &name1&님은 어떤 점이 가장 좋으셨나요?
P0 	: 저는 허리나 무릎같이 예민한 부위 관련자세를
P0 	: 뺄수있는점이 좋았어요
P1 	: 아 그 기능도 좋았어요!
P1 	: 무릎이 아픈날에 정말 유용한 기능이었어요
P1 	: 지금 몇 스테이지까지 깨셨나요?
P0 	: 저는 그 엔딩보고나서 두번째 맵?에서 16스테이지 하고있어요
P0 	: 어디하고 계셔요?
P1 	: 저는 15스테이지 깨고 있어요
P0 	: 우와 빠르시네요
P0 	: 매일하시나요?
P1 	: 시간 여유가 있으면 자주하는 편이에요
P1 	: 요즘은 시간이 안나서 못하고 있네요 ㅠㅠ
P1 	: &name1&님은 게임하시는 주기가 어떻게되시나요?
P0 	: 매일 자기전에 동숲 잠깐 해요
P0 	: 리얼타임으로 즐기다보니 하루하루 출석하는 재미가 있어서요
