# FILE DATA
ID : MDRW2100035141
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 근데 저는 심즈 하다보면
P0 	: 한참 재밌다가도
P0 	: 갑자기 질리는 순간이 와요
P1 	: 넹넹 아아 질리는 타이밍이 와요ㅋㅋ
P0 	: 앜ㅋㅋㅋㅋㅋㅋ공감ㅋㅋㅋㅋ
P1 	: 같은 루틴이라
P0 	: 그래서 한동안 안 보다가 또 갑자기 몇년 주기로
P0 	: 접속하고
P1 	: 맞아요ㅋㅋㅋㅋ
P1 	: 질릴땨까지하고
P1 	: 한동안 안하다가 다시 생각나면 하고 ㅡㅋㅋ
P0 	: 모바일에서는 배속기능 없어요?
P1 	: 네네ㅠㅠ 없어용
P1 	: 아 근데 저번에
P0 	: 현실시간대로 흐르몀 너무 오래걸리잖아요ㅜ
P1 	: 오류나서 제 계정 초기화 됐는데
P1 	: 결제까지해서 이력 남아있을텐데
P1 	: ea 게임사에서 복구를 안해주셔서
P1 	: ㅠㅠ
P0 	: 아.....문의했는데
P0 	: 복구안된대요?
P0 	: 그럴때 진짜......하....
P1 	: 네네ㅠㅠ 문의했는데 복구 안되가지고
P1 	: 게임 캐릭터 처음부터 다시 키워야해서
P1 	: ㅠㅠㅠ
P0 	: 저도 꿈의집 한창하다가 새폰으로 다시 연동시켜봤는데
P1 	: 아아 요때가 가장 위험한것같아요ㅠㅠ
P0 	: 거의 초반레벨이길래 문의했는데 답이 없어요ㅠ
P1 	: 연동하거나 새로운 기기로 접속할때
P1 	: 저도 연동하다가 그렇게 됐어용ㅋㅋㅋ
