# FILE DATA
ID : MDRW2100020795
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 하기야 나도 속도 느려지는거 잘 체감은 못함
P1 	: 보통은 걍 전기 붙여서 초전도 만들 수 있는지 보는 용이지
P0 	: ㅇㅇ그리고
P0 	: 원소 자체만 가지고는
P0 	: 잘 효과 없지 않아?
P0 	: 불 도트뎀 들가는것도
P1 	: 불은 도트데미지 들어가고
P0 	: 주변에 불붙어야 타는거고
P0 	: 원소만 붙으면 안깎이지 않아?
P1 	: 전기는 붙으면 잠깐씩 스턴걸리지 않아?
P1 	: 나 원소만 붙이는 캐는 안써봐서 모르겠어
P0 	: 전기 단일로는
P0 	: 잘 모르겠어
P0 	: 나 베넷 궁깔때
P0 	: 전원 불 원소 묻는데
P0 	: 딱히 안타
P1 	: 그런가?
P1 	: 비경 아니면 보통 부가효과도 같이 나타나서
P0 	: 도트뎀 드는것도
P0 	: 바닥에 불나고 그 위에 서있으면
P0 	: 확실히 깎이는데
P0 	: 아니면 딱히...?
P1 	: 흠...ㅡ
P1 	: 난 각청 가끔 쓰는데
P1 	: 얘 스킬이 허공이나 지정장소에 전기 핀?같은거 던지고
P1 	: 한번 더 던지면 그쪽으로 날라가서 공격하는거거든
P0 	: ㅇㅇ
P1 	: 근데 이 전기 핀에 캐가 닿으면
P1 	: 도트데미지 들어가면서 감전효과 나타남
P1 	: 그래서 전기도 원소 단일효과 있는줄..
P0 	: ㅇㅎ.....
P0 	: 나도 보통 게임들이 그래서
P0 	: 그럴줄알았는데
P0 	: 없는것같아....
P1 	: 뭔가 복잡하네
P1 	: 이번 신캐도
