# FILE DATA
ID : MDRW2100002123
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210819
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 공차에 윈터멜론티 먹고싶다
P1 	: 아 나는 그거 항상
P0 	: 근데 사실 공차 몇번 안가봄
P1 	: 워터멜론으로 보여ㅠㅠ
P1 	: 이름 좀 잘짓지!
P0 	: 다들 워터멜론이라고해ㅠ
P1 	: 공차알바생들 맨날
P0 	: 윈터멜론이라는...채소가 있는골 어떡해유ㅠ
P1 	: 고객님~ 윈터멜론인데 괜찮으세용
P1 	: 이라고 물어볼듯
P0 	: 아진짜?
P0 	: 아니거든요
P1 	: 그냥 내 추측ㅎㅎㅎ
P0 	: 윈터멜론 시키는 사람들
P0 	: 맛잘알이라 그런거 잘 시키거든요
P1 	: 나도 공차...태어나서 5번..? 가본듯
P1 	: 자의식과잉이네
P0 	: 나도 그정도 ㅋㅋㅋㅋ
P0 	: 오늘 빽다방 가려고했는데
P0 	: 그냥.. 귀찮아져서 지에스 커피 마심
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ가격은 비슷한가?
P0 	: 지에스 커피는 아니고 지에스에서 파는 멕스웰하우스..
P0 	: 행사해서 2500원에 두개주더라
P1 	: 잠 안자려고 먹은거?
P0 	: 근데 오백미리짜리라서 양 많음
P0 	: 아니 걍 요즘 두잔은 마셔야
P1 	: 오 좋다 양많은거
P0 	: 뭔가... 열심히 살아있더라
P0 	: 근데 잤다 마시고
