# FILE DATA
ID : MDRW2100045356
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 기타

id : 2
age : 30대
occupation : 학생
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 응응?
P0 	: 그앞에 지나가기만해도
P0 	: 냄새대박이었는데
P0 	: 거기 안지나다님?
P0 	: ㅋㅋㅋㅋ
P1 	: 생각해보니까ㅋㅋ 나거의 봉고타고 다니고
P0 	: 교회집사님들이 얼마나 자주 다녔다고 거기ㅋㅋㅋㅋ
P0 	: 고등학교 초반까지도 있던거같은데
P1 	: 전혀몰라ㅋㅋㅋ기억안나ㅜㅜ
P0 	: 너 고딩때도 봉고탐? ㅋㅋㅋ
P0 	: 그래서 로티보이를 모르는거야?
P0 	: 그 맛있는 번을 모르다니 진짜 통탄할일이다
P1 	: ㅇㅇ고딩때도 봉고탐ㅋㅋㅋ
P0 	: 진짜슬프다 니가 그걸 안먹었다니
P0 	: 너가 아는 커피번은 무슨맛이니
P1 	: ㅜㅜ나도덩달아슬프다ㅜㅜ
P1 	: 나는 파바나 뚜레쥬르지ㅜㅜㅜ
P0 	: 진짜 거기꺼의 열배는맛있어
P0 	: 진심이야
P0 	: 안에 생크림따위없다구
P1 	: 헝 슬프다ㅜㅜㅜㅜㅜ
P1 	: 생크림???
P0 	: 요즘은 번에 생크림넣는곳들이있던데
P1 	: 헝 난싫어ㅜㅜ생크림
P1 	: 근데 베이비슈는 좋이
P0 	: 나도싫어 ㅋㅋㅋㅋㅋ
P0 	: 로티보이는 안에 버터야
P1 	: 내일 너 만나고 빵집도 갈거야
