# FILE DATA
ID : MDRW2100005072
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  3
contact_frequency  :  주 1회 미만

P0 	: 집안일 끝났나유??
P0 	: 육퇴는하셨는감요??
P0 	: 여보시요??
P0 	: &name2&님??
P0 	: 접니다 &name1&~
P0 	: ㅋㅋ
P1 	: 오 &name1& 안녕
P1 	: 지금 새텐트 치고 있었다
P1 	: 육퇴했나??
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ바쁘네여~
P0 	: 난 할매가 육퇴시키는중여 ㅋㅋㅋ
P0 	: 캐가 집줕하고있음ㅋㅋ
P1 	: 아 구미제
P1 	: 계속 까먹음
P1 	: 부럽노
P0 	: 집에가믄 빨래가 산더미 ㅋㅋㅋ
P1 	: &name3&도 할매집 보내고 싶다
P1 	: ㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋㅋㄱ
P0 	: 할매집은 가깝잖아여?
P1 	: 엉 자주 가지 ㅋㅋㅋㅋㅋㅋ
P0 	: 할매가 육퇴 실패ㅠ
P0 	: 소환 ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㄱ
P1 	: 투입해라
P0 	: 댕기오께요ㅠ
P1 	: 나도 씻기고 오께
P0 	: 잘갔다와옄ㅋ
P0 	: 난 실패ㅠㅋㅋ
