# FILE DATA
ID : MDRW2100014821
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 요즘 비가 너무 잦죠???
P0 	: 맞아요 비 원래 좋아했는데 너무 자주와서 꿉꿉하네요,,!
P1 	: 그러니까요 정말 맑다가 갑자기 비가 오니 당황할때가 많아요
P0 	: 맞아요 오락가락한 날씨.. 일기예보에 가끔 비 안온다고 떠도 오더라고요
P0 	: 그래서 마음편하게 그냥 비 온다고 생각하고 거의 칩거하는 것 같아요ㅋㅋ
P1 	: 그러니까요 지금 야외활동하기 좋은 계절인데
	  덕분에 집순이하고있어요
P1 	: 맑은 날엔 하늘이 너무 예쁘죠
P0 	: 맞아요 맑은 날이 거의 없어서 그런가 넘 반가워요ㅋㅋ
P0 	: 요새 노을지는것도 괜히 예쁘더라고요~~
P1 	: 그러니까요 사진첩에 하늘사진 가득가득해요
P1 	: 내일은 그래도 서울은 비가 안오나봐요
P0 	: 오 하늘 사진 자주 찍으시는군요!
P0 	: 좋아하는 계절은 어느 계절이세요?
P0 	: 진짜 비 멈춰야해요ㅠ 저희지역도 오늘 안온댔는데 하루종일 부슬비가~~
P1 	: 지금 이맘때랑 봄이 좋은데요 회사다니기엔 여름이 최고좋아요 에어컨빵빵!
P1 	: 겨울엔 아침에 일어나기 너무 힘들어요ㅜㅠ
P1 	: 부산엔 진짜 비가 많이 왔다더라고요ㅜㅠ
P0 	: 맞아요 빵빵 뭔가 합법적 피서...
P0 	: 여름엔 더워서 그런가 눈이 잘 떠지더라구여 해도 금방뜨고
P0 	: 봤어유ㅠㅠ 뉴스에선 보도 많이 안해주긴하던데
P0 	: 시간당 비가 300mm쯤 왔다고 본 것 같은데
P1 	: 이번주까진 계속 이렇게 오락가락할거같아요
P1 	: 이제 좀 안오기를...
P0 	: 맞아요.. 태풍만 아니면 괜찮을것 같은데
P0 	: 오늘은 날씨가 괜찮아서 그런가 살짝 덥네요
P1 	: 그러니까요 흐리고 눅눅하니까 덥게 느껴지는거같아요!
P0 	: 맞아요 아직 반팔 못집어넣겠어요ㅋㅋㅠ
P0 	: 좀 시원해졌다고 생각했는데!
P1 	: 저도 반팔 원피스만 줄기차게 입고있어요!
P1 	: 원피스가 간절기엔 최곱니다!
