# FILE DATA
ID : MDRW2100042404
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  3
contact_frequency  :  주 1회 미만

P1 	: 그러이
P0 	: 학교 수업 시작하고 교실 들어오는 애도 있다던데
P1 	: 아직 지코가 안 왔나
P1 	: 마음이 조급하다
P0 	: 아직 20분 남았네요
P0 	: 슬슬 성질이 납니다
P1 	: ㅋㅋㅋㅋㄱ 다행이네
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ 니먹으러가면
P1 	: 씻어야겠다 ㅋㅋㅋㅋ
P1 	: 수업 시작하고 온다고??
P0 	: 언니 혼자 안 남을라고
P1 	: 왜 그래 늦게 오노??
P0 	: 모르겠어요 선생님 카페 올렸던데
P1 	: 그렇지 ㅋㅋㅋ
P1 	: 아 뭐라고??
P0 	: 등교시간 좀 지켜달라고
P1 	: 아하
P0 	: 언니 카페에
P0 	: 해소 팔 싸 말아요
P0 	: 해소83
P1 	: 아니
P0 	: 이 아줌마 무슨 학원 여는 거 같은데
P0 	: 애들 가르키고 뭐 이런 거 하는 거 같던데
P1 	: 어
P0 	: 이 집 아들이 &name3&이랑 같은 반이거든요
P1 	: 아하
P0 	: 예가 수업 시작하고 왔대요 ㅋㅋㅋㅋ
P0 	: 카페 애들 얼굴 이렇게 올리면
P1 	: 어
P0 	: 한 다리 건너면 다 아는데
P1 	: 그렇지
