# FILE DATA
ID : MDRW2100042848
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 나랏글

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  가족>부부
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 빙고....
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 왠지 첫째는
P0 	: 너에게 모든 것을 맡기고
P0 	: 놀러를 갈 거 같다
P1 	: 그러니깐 ㅋㅋ
P1 	: 싫다고 함 ㅋㅋ
P1 	: 너희
P1 	: 독립
P1 	: 하고
P1 	: 엄마는 혼자 여행다니며 즐겁게 살거라고 했지 ㅋ
P0 	: ㅋㅋㅋㅋ
P0 	: 그러니까 뭐라던데??
P1 	: 싫다고 하지
P1 	: 하루에 한번씩 집에 온다든데
P1 	: 근처 살면서
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 어후
P0 	: 결혼해도
P1 	: 정말 피곤하다..ㅋㅋㅋ 생각만 해두
P0 	: 함께 하네
P0 	: 각오해라 ㅋㅋㅋㄱㅋㅋ
P1 	: 그러니깐 또 우리 신랑은 혼자는 위험하다고 자기랑 같이 여행다니재
P1 	: 으
P0 	: ㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋㄱㄱㅋㅋㅋㅋ
P1 	: 다들 독립을 해야되는데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ얼른 컸으면 좋겠다 ㅋㅋ
P0 	: 신랑은 언제 크는데??
P0 	: 아직 덜 컸나?? ㅋㅋㅋㅋ
P1 	: 한번씩은 어른같고
P1 	: 한번씩은 애들이랑 똑같은것 같구
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그래 우리 신랑도
P1 	: 응응 ㅋㅋ
P0 	: 매일 아이스크림으로 원이랑
