# FILE DATA
ID : MDRW2100045725
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 해외/기타
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경북
principal_residence : 경기
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 저도 지금은 잘 안하지만 예전에 간단하게 베이킹했을때
P0 	: 혼자는 다 못먹으니까 주변에서 같이 먹어주고 맛있다고 해주면 뿌듯하긴 하더라구요 ㅋㅋㅋㅋ
P0 	: 먹이는 재미도 확실히 알 것 같아요
P1 	: 오오ㅠㅠㅠ 베이킹 능력자이신데요?!
P1 	: 저도 언젠가 도전하겠다!하고 오븐을 샀는데
P1 	: 당근마켓에 팔아버렸어요ㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ잘 파셨어요
P0 	: 필요하면 또 언젠가 다시 사서 할 수 있겠죠!! 안쓰는 물건은 빨리 정리하는게 이득!
P0 	: 저도 지금은 베이킹 잘 안해서 걍 에어프라이어 대신 음식구울때 쓰고 있어요!!
P1 	: 그죠ㅠㅠㅠ에어프라이어가 오븐을 대체했어요!
P1 	: 그래도 위대한 발명품인 거 같아요 에어프라이어!
P1 	: 뭐든지 맛있어지는ㅋㅋㅋ
P0 	: 에어프라이어 좋나요?
P0 	: 저는 정작 에어프라이어가 없어섴ㅋㅋㅋㅋㅋ 오븐이랑 많이 다를지 모르겠어요!
P1 	: 완전 좋아요!
P1 	: 치킨 남은 거 돌리면
P1 	: 감쪽같이 바삭해져요!!!!!!!
P0 	: 와우
P0 	: 사실 오븐에 돌려도 바삭은 해지는데
P0 	: 번거로워서 잘 안하게 되긴 하더라구욬ㅋㅋㅋ
P0 	: 이참에 하나 장만해야겠어요역시....
P0 	: 역시 많이 먹는자에겐 에프가 크면클수록 편한가요ㅋㅋㅋㅋㅋ
P1 	: 네 꼭 큰거요!
P1 	: 그리고 통형보다는
P1 	: 오븐형이 편해요!
P0 	: 와 꿀팁 메모메모
P0 	: 너무 큰건 항아리 같아서 타협할까 했는데
P0 	: 모두가 입을 모아 무조건 큰거!!!를 외치시네요
P0 	: 많이 잘먹기 위해 뼈에 새기겠습니다
P1 	: 크으으으
P1 	: 좋습니다
P1 	: 아 그리고 저 갑자기 생각났는데
P1 	: 빙수 좋아하시면 동빙고 팥빙수도 꼭 드세요!
P1 	: 제 인생빙수예요
P0 	: 헐 메모메모
P0 	: 꿑팁 너무 감사합니다ㅠㅠㅠ 체인점인가요?
P1 	: 아뇨 용산에 본점만 있을 거예요!
P1 	: 근데 뚜벅이면 너무 가기 불편해서요
P1 	: 차량 이용하시는 게 편하실 거예요!
P1 	: 미리 전화하면 얼려두셔서 포장도 돼요!
P0 	: 오 용산이면 제 생활반경에서 아주 멀진 않은 것 같아욬ㅋㅋㅋㅋ
P0 	: 언제 날잡아서 가봐야겠어요!!
P0 	: 언덕길이 많은 동네에 있나요ㅋㅋㅋ 저는 따릉이족이라!
P1 	: 네 근데 거기 길이 너무 이상해요ㅠㅠ
P1 	: 인도가 있다가 갑자기 인도가 없는 마법이...
P1 	: 갑자기 차도만 있습니다!
P0 	: 오 자전거는 절대 안되겠고
P0 	: 면허가 있는 주변인의 힘을 빌려볼게옄ㅋㅋㅋㅋ!!
P0 	: 그래도 이렇게만 찾아갈 수 있는 맛집 정보... 너무나 귀합니다 메모메모
P1 	: 좋아요! 포장하면 픽업하면 되니까요!
P1 	: 에이 맛집은 다같이 아는 거죠~~
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ이런 꿀팁들 너무 많이 공유해주셔서 행복해요
P0 	: 저는 완전 찾아갈만한 맛집인지는 모르겠는데
P0 	: 여의도에 홍설이라는 팥 전문 카페가 있던데(유명한지 아닌지는 모르겠어요!
P0 	: 달달한 팥이 충실하게 잘 차있어서 한 번 지나가는 길에 들러볼만 한 것 같아요!
P1 	: 오오 꼭 가볼게요!!
P1 	: 저 팥친놈이에요ㅠㅠㅠㅠ
P1 	: 감사합니다ㅠㅠㅠ
P0 	: 저도 주변분이 데려가주신거라 엄청 소문난 맛집인지는 잘 모르겠어욬ㅋㅋㅋㅋ근데 소소하게 너무 맛있어서...!
P0 	: 팥은 좋아해도 팥죽은 별로였는데 거기 팥죽은 너무 맛있더라구요!!
P0 	: 빙수도 클래식한 빙수인데 맛있었구요
P1 	: 오오 팥죽도 있군요?! 꼭 가볼게요! 넘 좋아요ㅠㅠ
P1 	: 팥 너무 좋아해서
P1 	: 붕어빵도 팥만 먹거든요ㅋㅋㅋ
P0 	: 그럼 맞게 잘 얘기꺼낸 것 같아욬ㅋㅋㅋㅋㅋ
P0 	: 많이 달달하긴 한데 팥에는 정말 진심인게 느껴지는 맛이더라구욬ㅋㅋ!!
P1 	: 크으ㅠㅠㅠㅠ 팥에 진심이라니 너무 좋네요!
