# FILE DATA
ID : MDRW2100020704
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 넷플에 볼만한 거 없나요?
P0 	: 넷플은 삼진영어토익반?
P0 	: 그거 괜찮더라구요
P0 	: 에밀리파리가자 이것도 가벼운 로코 좋아하시면 추천해요
P1 	: 삼진영어토익반 그거 뜨자마자 봤어요 ㅎㅎ
P1 	: 에밀리파리가다 그거 드라마죠?
P0 	: 네네 드라마요!
P1 	: 그거 그럼 찜해놔야겠어요
P1 	: 요새 너무 볼게 없지 않나요 ?ㅠㅠ
P0 	: 저는 요즘 넷플 안 보고 왓챠봐요 왓챠가 영화가 많더라구요
P0 	: 넷플은 오리지널 보고나면 볼게없는 느낌이에요
P1 	: 왓챠 최신영화 많아요?
P1 	: 넷플 너무 옛날거밖에 없어서 다 봤던 것들..
P0 	: 저는 최신영화는 잘 모르겠고 ott 검색 어플 같은거 있더라구요 보시고 싶은거 검색해보시고 있으면 결제하셔도 될거같아요
P0 	: 왓챠는 처음이면 이주 무료체험도 있어요
P1 	: 와 요새 그런것도 있구나
P1 	: 좀 있으면 디즈니플러스 들어온다하더라구요 그거 기다리고 있어요
P0 	: 디즈니랑 마블 좋아하시면 디플이 좋겠네요! 저도 들어와서 반응 괜찮으면 생각해봐야겠어요
P1 	: 11월쯤에 들어온대서 저도 반응 보려구요
P1 	: 그래도 넷플에 신작 꾸준히 올려줘서 아직 볼만해요
P0 	: 네네 저도 넷플은 신작 볼만한거 나옴 한달 결제해서 봐요
P1 	: 아이디 혼자 써요?
P0 	: 네! 한달도 구하시던데 인터넷으로
P0 	: 같이하는거 해요
P1 	: 아아 맞아요 그렇게 봐야 좀 덜아깝더라구요
P1 	: 전 가족끼리 아이디 공유해요 돈 나눠내고 ㅋㅋ
P0 	: 네 혼자서 다 결제하기엔 부담 ㅠ
P0 	: 가족끼리면 너무 좋죠
P1 	: 근데 거의 저만 봐요 ㅋㅋㅋㅋㅋㅋㅋ
