# FILE DATA
ID : MDRW2100039631
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  기타>온라인 커뮤니티
intimacy  :  4
contact_frequency  :  주 3회 이상

P0 	: 요즘은.. 어떤 노래가 유행하는가
P0 	: 그런 것이야말로 트렌드가 아닐까요(1도모름
P1 	: 어 근데 저도 모릅니다...
P1 	: 아시다시피 케이팝에서도 오타쿠라서...
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 갓반인들은...무슨 노래 듣지?
P0 	: 악뮤.. 같은 거?
P0 	: 아이유... 같은 거?
P1 	: 아 맞다 악뮤 신곡 나왔죵
P1 	: 마자 그거 피쳐링 아이유가 했죠
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 물론 듣지 않았어
P1 	: 저는 아이유 박효신 악뮤 그리고 엔시티127에서
P0 	: 백날천날 어떻게 이별까지.......를 듣는 오타쿠라서
P1 	: 엔시티 127을 담당중...
P1 	: 아 너무 좋죠 띵곡
P1 	: 저도 그...찬혁이 제대하고 나서는 어쩐지
P1 	: 손이 안가서
P0 	: 박효신보다 요즘 애들한테 익숙할 거야
P0 	: 아마도..........
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ희망을...희망을...
P1 	: 근ㄷ 요즘 애들은 다 bts자나욧
P1 	: 거의 이견이 없던데...무섭드라구용
P1 	: 근데 방탄 왜 영어노래내...
P0 	: 그럴까요 다들 좋아한다는데
P1 	: 그러고도 너네가 케이팝이야? 재섭서...
P0 	: 내 주변에는 없는 그런 현상
P0 	: 노래를 하나도 몰라 어쩌면 들어보면 알지도 모르지만
P1 	: 마자요... 제 주변두 별로 없다
P1 	: 아마 거리에서 많이 나오니 아실지도...
