# FILE DATA
ID : MDRW2100047126
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 광주
principal_residence : 대구
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아이스크림 좋아하죠 ㅋㅋㅋㅋ
P1 	: 오늘도 빠삐코 밀크맛 먹었어요
P0 	: 와우
P1 	: 이거 맛있어요!
P0 	: 빠삐코는 밀크죠
P0 	: 진짜 맛을 아시네요
P0 	: 밀크쉐이크맛의 정석이잖아요
P1 	: 맛잘알이셔 ㅋㅋㅋㅋㅋㅋ
P0 	: 좋아요
P1 	: 맞아요 맞아요 ㅠㅠㅋㅋㅋ
P0 	: 그럼 이쯤에서 뻔한질문
P0 	: 난 민초다 반민초다
P1 	: 앜ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 전 민초 먹어요 ㅋㅋㅋㅋㅋㅋ
P0 	: 말해봐요 어서
P0 	: 아앗..
P0 	: 우리 잠시 멀어져요
P0 	: ㅋㅋㅋㅋ
P1 	: 근데 전 차가운 민초만...
P1 	: 민초 데우지마...
P0 	: 아앗..
P0 	: 우리 한 5센치만 멀어져요
P0 	: 난 민초를 먹지않아요
P0 	: 안타깝나
P0 	: 안타깝다
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ뭐 취향이죠 ㅋㅋㅋㅋ
P1 	: 제가 별로 가리는게 없는 편이긴 해요
P0 	: 좋아요
