# FILE DATA
ID : MDRW2100043190
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 드림캐쳐 노래 들어보셨나요?
P1 	: 아뇨! 드림캐쳐는 한번도 안들어본거같아요!!
P0 	: 드캐도 노동요로 짱입니다요
P0 	: 드캐 보카랑 스크림 완전 신나요 ㅌㅋㅋㅋ
P0 	: 특히 스크림은 두ㅣ에 후반에 2절끝나고 완전 댄브구간으로
P0 	: 휘몰아치는 두두두두두두 구간있거든요?ㅋㅋㅋㅋ
P0 	: 아 나 뻐렁찬다 또 막 온몸 같이 두두두두두
P1 	: 바로 들어보러 갑니다요!!
P0 	: 보카도 처음 시작부터 몸이 반응해요 ㅋㅋㅋㅋ
P1 	: 와 ㅋㅋㅋㅋㅋㅋ진짜 이거 둘다 완전 신나네요 ㅋㅋㅋㅋㅋ지금 듣는데 ㅋㅋㅋㅋㅋㅋ 두두두두두 어딘지 알겠어서 ㅋㅋㅋㅋ현웃터짐요 ㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋ그쵸 따발총구간
P0 	: 있다구욬ㅋㅋㅋㅋㅋ
P0 	: 완전 씐나!!!!
P1 	: 네!!!! 저 두두두두때문에 보카보다 스크림이 더 좋아용 ㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋ하..영업성공
P0 	: 뿌듯...
P1 	: 지금 5번째 듣는중..ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 앜ㅋㅋㅋㅋㅋㅋ웃기닼ㅋㅋㅋ
P0 	: 정말 ^스^며드셨군요
P0 	: 껄껄껄
P0 	: 드캐도 띵곡이 진짜 많아요 ㅋㅋㅋㅋ
P0 	: 아 이달소 소왓 노래 아새요? 이거 피티티 전 제 노동요 ㅋㅋㅋㅋㅋ
P0 	: 가사 이거 아닌데 맨날
P0 	: 거지같은게~ 소왓! 이렇게 들려가지곸ㅋㅋㅋㅋ
P1 	: 소왓도 몰라요!! 뭔가 비슷한 제목 플리에 있던거같아서 봤더니 와이낫이네요 ㅋㅋㅋㅋ
P0 	: 와이낫도 좋아요 ㅋㅋㅋ 근데 뭔가 신나는 노래가 더 많아서 와이낫은 살짝 순한맛느낌
P0 	: 거지같은게~~~ 쏘왓!!
P0 	: 들어보세욬ㅋㅋㅋㅋ 이것도 도입부부터 신나요 ㅋㅋㅋㅋ
P0 	: 암쏘뺃~~~
P1 	: 악 ㅋㅋㅋㅋㅋㅋ신나요 신나 지금은 퇴근해서 신납니다~!!!
P0 	: 헐..퇴근...
P0 	: 왜 저빼고 하세요..? 막이래 ㅠㅠ
P0 	: 너무 부럽습니다 저도 보내주세요 ㅠㅠㅠㅠ
P1 	: 으앙 ㅋㅋㅋ저는 8출 5퇴에요 ㅋㅋㅋ노래도 들으면서 좀만 힘내세여!!!
P0 	: 8출오퇴!!!! 일찍일어나긴 힘들지만
P0 	: 퇴근할땐 그리 좋을듯요 ㅎㅎ
P0 	: 저는 나인투식스입니다
P0 	: 4분남았어요
