# FILE DATA
ID : MDRW2100042500
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 나랏글

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  3
contact_frequency  :  주 1회 미만

P0 	: 아 여자 선생님
P0 	: 착하고 괜찮아
P1 	: 언니 왔어요
P0 	: 맛있게 먹어라 어서
P1 	: 빨리 씻고 와요
P1 	: 얼른 나가요 언니ㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㄱ
P0 	: 오늘도 2분 남기고 왔다
P1 	: 대단하다 정말ㅋㅋㅋㅋㅋ
P1 	: 그렇게 맞추기도 힘든
P0 	: 오늘은 정말 아슬아슬했다
P0 	: 하루하루 바쁘군
P1 	: 언니 오늘 주사 맞으러 안가요
P1 	: 출근했다 오는 거라 요?
P0 	: 아 출근했다가 열두시쯤
P0 	: 퇴근한다
P1 	: 출근했다 12시 퇴근하는데 2분 남겨놓고 출근ㅋㅋㅋㅋㅋ
P1 	: 멋져 보러
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㄱㅋ
P0 	: 일하는 시간만 맞추면 되지
P0 	: 출근하는 것도 디다 ㅋㅋ
P1 	: 하긴 그건 그래요ㅋㅋㅋ
P1 	: 대구 넘어가는데 참 많잖아요
P1 	: 차
P0 	: 엉 아침에는 차가 너무 많다
P0 	: 80에서 90 사 이로 가고 싶은데
P0 	: 80을 지키는 차들이 너무 많아서
P0 	: 아침부터 나만 바쁜 느낌
P1 	: 거기 외국한 단속 있어서
P1 	: 구간 단속
P1 	: ㅋㅋㅋㅌㅌ
