# FILE DATA
ID : MDRW2100005883
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 울산
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  3
contact_frequency  :  주 1회 미만

P1 	: 사실 책을 빌리기만하고
P1 	: 안읽고반납해서
P1 	: 그게 쌓이니까
P0 	: &name2&씨도 책 추천해 줘!!
P1 	: 다독상을 받게되었다
P0 	: 아니 ㅋㅋㅋㅋㅋㅋ
P1 	: ㅠㅠ
P1 	: 나아는
P1 	: 그 단편집인데
P1 	: 칵테일 러브 좀비
P1 	: 라는책을 읽었는데 너무 재밌었어서
P1 	: 일상판타지라고해야하나
P1 	: 엄청짧아
P1 	: 집중하면
P1 	: 3시간만에읽을걸
P1 	: 물론 더 빨리읽을수도있고
P0 	: 외국 소설이야??
P1 	: 노노
P1 	: 한국소설이양
P0 	: 앗 혹시 작가가 누구...??
P1 	: 조예은
P1 	: 작가님이여
P0 	: 첨 들어보는 분이네..
P1 	: 예아...
P1 	: 나도친구가
P1 	: 탐라에서 봤다면서
P1 	: 나보고읽어보라고
P1 	: 추천해줬는데
P1 	: 너무재밌게잘읽었던...
P1 	: 이후에 친구랑
P1 	: 템플스테이가서
P1 	: 너무할거없어서
P1 	: 그걸 이북으로 저장해놨거든
P1 	: 그래서 친구한테
P1 	: 심심하면
P1 	: 이거읽어봐라
P1 	: 하고냅다줬더니
P1 	: 너무잘읽는거야
P1 	: 엄청재밌다고했엉
P0 	: 함 읽어봐야겠군...
P0 	: 아 템플스테이때 읽은거야?? ㅋㅋㅋ
P1 	: 아 나는 그 전에읽었구
P1 	: 친구는 템플스테이에서읽은ㅋㅋㅋㅋ
P1 	: 너무할게없다보니
P1 	: 저절로책도읽게되더라구...
P0 	: 아하아하...
P1 	: 껄껄
P0 	: 난독증 ㅁㅊ...
P1 	: ^^...
P1 	: 아냐
P1 	: 내가 설명을
P1 	: 개떡같이해서그랴
P1 	: 요즘 읽고있는책은있엉?
P1 	: 나는 ..
P1 	: 짜라투스트라는 이렇게 말했다였나
P1 	: 제목 아무리 말해도 외워지지않는
P1 	: 암튼 그거 100분의 1도 못읽은듯
P1 	: 젠장 책 도대체 언제읽지
P1 	: 책을 도대체 언제읽어야하는걸까
