# FILE DATA
ID : MDRW2100006934
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 충남
principal_residence : 대전
current_residence : 충북
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 서비스 종사자
sex : 여성
birthplace : 경기
principal_residence : 충남
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 동물좋아하시나요
P1 	: 네!!! 특히 고양이를 무척 좋아해요
P1 	: 그래서 임보도 여러마리 맡아서 하구 새 가족도 찾아주고 한답니다 ㅋㅋㅋㅋ
P0 	: 대단해요
P0 	: 임보진짜 어려운데
P0 	: 우리는 래브라도리트리버 골든리트리버키워요
P0 	: 주택이라서요ㅎ
P1 	: 헉 진짜 부러워요!!!!!!!!
P1 	: 저도 주택에서 사는게 꿈입니다ㅜㅜ
P1 	: 너무 귀엽겠어요...{emoji:♡}
P0 	: 마당이넓어요 100평
P0 	: 애기들 활동량 많아서 아침저녁 산책시키는데
P0 	: 그거로부족해서 마당에서 뛰어놀아요
P1 	: 와 진짜 넓네요!!!
P1 	: 역시 동물들은 마당있는 집에서 함께 살아야해요ㅜㅜ
P0 	: 시골로 이사왔어요ㅋㅋ
	  애기도키울겸
P1 	: 제 꿈이에요 진심 ㅋㅋㅋㅋㅋ
P1 	: 저는 마당있는데서 고양이까지 함께...
P0 	: 집에 큰창을 만들어서 개들이 마당이랑 집 오가요
P0 	: 임보는 정말 대단해요
	  경계도 풀어야되고 정쌓으면 보내야되고
P0 	: 마음이아플거같아요
P1 	: 좀 그런 면이 있죠 ㅜㅜ
P1 	: 하지만 그만큼 좋은 가족에게 가는거라서
P1 	: 좋게 생각하고있어요+
P0 	: 마인드가 멋있어요
P0 	: 저는 대형견2마리에 애기까지 있어서 임보못할것같은데
P0 	: 그 전에도 해본적은없어요
P0 	: 학대견입양에서 키우고 유기견입양해서 키워본적은있어요
P1 	: 그쵸그쵸 원래 가족 있는 분들은 임보 힘들어하시더라구요!
P1 	: 진짜 대단하세요
P1 	: 역시 가족을 맞이할 땐 입양이죠
P0 	: 학대 유기견 아직도 친정에 있어요 두마리
P0 	: 엄마가 입양했어요
P1 	: 멋진 가족이네요..! 진짜 말못한다고 학대하는 것들은 똑같이 해줘야해요ㅡㅡ
