# FILE DATA
ID : MDRW2100031557
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 주말인데 맛있는거 드셨나요?
P1 	: 저는 아침으로 유부초밥을 먹었어요!
P1 	: 아침드셨나요?
P0 	: 저... 지금 일어났어요... ㅎㅎ
P0 	: 이제 걍 점심 먹어야죠... ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋ
P1 	: 점심은 어떤 메뉴드실건가요?
P0 	: 음..  원래 아침에ㅋㅋㅋ생선을 구워먹으려고 했어요
P0 	: 그거 먹으려구요ㅋㅋㅋ
P1 	: 생선 맛있죠!!
P1 	: 요즘 전어철인가요? 갈치낚시도 많이 보이던데요
P1 	: ㅎㅎ
P1 	: 무슨생선드세요?
P0 	: 옥돔이 선물로 들어와서 그거 먹으려구요ㅋㅋㄱ
P0 	: 낚시하세요?
P1 	: 와 옥돔이라니 ㅠㅠ 귀한거네요
P1 	: 정말맛있겠어요 회로 드세요 구워서드세요?
P1 	: 낚시는 저는 안하지만 제가 사는곳이 워낙 낚시하는사람이 많아서요 ㅎㅎ
P0 	: 옥돔이 생물로 온게 아니라 손질해서 진공포장되서 온 그런거였거든요
P0 	: 구워먹을수 밖에요 ㅋㅋㅋ
P1 	: 아 그런거군요
P1 	: 너무 맛있었겠어요
P1 	: 돔은 어떻게 먹어도 최고의 맛이죠!!
P0 	: 네, 맛있더라구요 ㅋㅋㅋ
P0 	: 점심 드셨나요? ㅋㅋㅋ
P1 	: 네 저는 초밥먹었어요ㅎㅎ
P1 	: 저녁은 뭐드실건가요?
P0 	: 저녁 방금 먹었는데
P0 	: 닭곰탕먹었어요
P0 	: 그쪽은요?
P1 	: 그러셨군요
P1 	: 저는 떡갈비 먹었어요
P1 	: 마트에서 완제품 사서요 ㅎㅎ
