# FILE DATA
ID : MDRW2100022541
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 여행

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 경남
device : 스마트폰
keyboard : 기타

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 단모음

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 여수에서 타보신건가요? 짚트랙은??
P0 	: 통영가면  케이블카랑 루지가 근처에 붙어있어서
P0 	: 두개 다 이용해볼 수 있거든요 ㅎㅎ
P1 	: 짚트랙 대천해수욕장에서요
	  여수 쪽은 한 번도 안가봤어요
P1 	: 통영 가보고 싶네요
P0 	: 통영가면 디피랑도 좋아요 ㅎㅎ
P1 	: 통영이 볼거리 즐길거리가 많나봐요
P1 	: 맛난것도 많겠죠?
P0 	: 네 통영거제까지 쭈욱 둘러보기 좋은거 같아요~
P0 	: 음 맛집은.. 예전에 갔을때 굴전?굴밥 뭐이런거 맛있게먹었었어요~ㅎㅎ  통영하면 꿀빵엄청 유명하구요 ㅎㅎ
P0 	: 저도 짚트랙 타보고 싶네요 ㅎㅎ
P1 	: 굴 넘 좋아해요. 꿀빵 들어봤어요.넘 가보고 싶네요^^ 
	  거의 태안으로만 다녔거든요
P0 	: 오 태안~~  생각해보면
P0 	: 국내도 다닐만한 여행지가 꽤 많은거 같네요 ㅎㅎ
P1 	: 맞아요. 몰라서 못가는데가 엄청 많을 거에요
P0 	: 그쵸 저도 그 생각이 들어요~~~
P0 	: 먹거리 즐길거리도 파다보면 끝없이 많을거 같아요
P1 	: 해외 여행 가본적 있나요? 
	  전 한 번도 없어요
P0 	: 저도 한번밖에 못가봤어요ㅠㅠ
P0 	: 이제 애기들 데리고 가보고싶은데
P0 	: 언제쯤 갈수있을까요
P1 	: 그러게요.. 안 가는게 아니라 못 가는 상황이 되서 더 답답하죠
P0 	: 그래서 요번엔 쪼금 잠잠해지몀
P0 	: 국내여행이라도 가려구해요ㅠ
P0 	: 여름휴가에도 집에있었거든요 ㅜㅜ
P1 	: 근데 다니는 사람은 다 다니더라구요
P0 	: 그렇더라구요 대단해요정말 전 무서워서 못가겠던데
P0 	: 어쨌든 빨리좀 잠잠해지기를 바랄뿐이에요ㅜㅜ
P0 	: 제주 가족여행 가고파요~ㅎㅎ
P1 	: 저도 제주도 가고파요. 신혼여행으로 가보고 못 갔거든요
P0 	: 저도 제주못간지가 오래되서 애들데리고 가고싶어요
P0 	: 다녀오신분들이 기념품으로 자꾸 초콜릿주는거만 먹고 그랬더니 ㅋㅋㅋ..ㅠ
P1 	: 백련초 초콜릿 생각나네요
P0 	: 맞아요맞아요 ㅋㅋㄱ 진짜 유명한 제주기념품이지요
P1 	: 제주도 푸른 밤 넘 보고 싶네요!!
P0 	: 저두보고싶네요!!^^  조만간 갈수 있는 날이 오기를 바랄뿐이에요~~
P1 	: 코로나 끝나면 여행들 엄청 다닐 거 같아요
