# FILE DATA
ID : MDRW2100040862
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 기타

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 맞아요 ㅠ 자주 시켜먹지는 못해요 그래서  ㅠ
P0 	: 마담로익거 신맛이없어요!
P1 	: 오! 신맛이 나지 않는다고 하니까 궁금하네요!
P0 	: 그 유명한 전남친 토스트의 재료잖아요 ㅋㅋㅋ
P0 	: 아시나요 ㅋㅋㅋ
P1 	: 아아닛!!! 그 재료가 그 재료구나!!
P1 	: 그 유명한 레시피 봤어요!!
P1 	: sns여기저기서 엄청 올라와서 나중에 해먹어야지 의 나중에를 담당하고 있죠
P1 	: 바로 해먹어본건 감자떡?을 해보고 나머진 다 나중에 해야지 하고 있어요 ㅋㅋㅋ
P0 	: 감자떡이요..?
P0 	: 떡을집에서해요?
P1 	: 그 진짜 그 감자떡 비주얼은 아니고
P1 	: 오히려 뇨끼에 가까운 비주얼인데
P1 	: 들어가는 재료가 간단하고
P1 	: 방법이 쉬워서 인터넷 레시피를 따라해봤었거든요
P0 	: 아하! 뇨끼라고하니까 이해가되네요! 그래도 되게 행동력있으시네요 ㅋㅋㅋ
P1 	: 재료가 적고 다 집에 있어서 가능했던 것 같아요 ㅋㅋㅋ
P1 	: 요리 똥손도 성공한 음식이에요!
P0 	: 치즈 또 뭐가 맛있나요!!
P1 	: 그리 다양한 종류를 먹어보지 못했지만
P1 	: 뉴질랜드에서 아는 분이 사다주신 블루치즈랑
P1 	: 에멘탈 치즈 진짜 맛있었어요!
P0 	: 헐 진짜 맛있겠어요!!! 주로어떻게 드세요?
P1 	: 제가 먹어보기론
P1 	: 카나페로 먹는게 최고였어요{emoji:♡}
P0 	: 헐 카나페 맛있겠어요 ㅜㅜㅠ 치즈왕창넣고 까르보나라도 끌리네요...
P1 	: 세상에... 최고죠
P1 	: 파스타 좋아하세요?
P0 	: 좋아해요좋아해요! 오일파스타도 좋은데 이탈리아식으로 만드는 까르보나라 정말 맛있어요 ㅋㅋㅋ
P1 	: 최근에 오일파스타에 빠졌어요!
P1 	: 바질페스토 만들긴 못할것 같가서
P1 	: 사서 만들어봤지만 뭔가 맛이 심심하네요
P0 	: 전 바질페스토 먹고 급체한적있어섴ㅋㅋㅋㅋ 그뒤로 못먹고있습니다...ㅜㅜ 과일은 뭐좋아하세요?
P1 	: 아공...
P1 	: 과일은 제 사랑이랍니다
P1 	: 편애하지않고 모든 과일을 사랑하죠 호
P1 	: 모든 과일은 제 사랑을 받고 있어요 ㅎㅎ
