# FILE DATA
ID : MDRW2100045823
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 해외/기타
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 앗 들킴 왜 그렇게 생각하셨죠
P1 	: 각각 이유가 궁금해요
P0 	: 직감?
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋ문과 이과 중 어디일 것 같나요!
P0 	: 음... 코카콜라....
P0 	: 문과요!
P1 	: 헉 정답~~ 문과입니다
P0 	: !!!
P0 	: 마..맞췄다...?ㅋㅋㅋ
P1 	: ㅋㅋㅋ네 문과입니다 제 학과도 좀 생소하실 수 있어요
P0 	: 음... ㅡ여쭤보기전에 직감으로...앗...
P0 	: 구럼 아니겠네요
P0 	: 국어 관련된 학과이지 않을까 했는데 생소하다면 음....
P1 	: 저도 의식주중 하나예요!
P0 	: 문관데 의식주요?
P0 	: 전햐 매치가 안되는데요??
P0 	: 건축학과?
P0 	: 응? 이건 이과죠?ㅋㅋㅋㅋ
P1 	: 네 ㅋㅋㅋㅋ독특하죠?
P1 	: 아 이제는 이과랑 합쳐져서 이과로 편입됐대요
P0 	: 의하면 패션이고 식하면 외식 관련이고 주는 건축공학이 생각나는데
P0 	: 헐 그래요? 그럴 수도 있다니 신기하네요
P1 	: 의식주중 뭐일 것 같으신가요!
P0 	: 주요
P1 	: 앗 들킴
P1 	: ㅋㅋㅋㅋㅋ진짜 초능력이라도 있으신가봐요
P0 	: 아앗!!ㅋㅋㅋㅋ
P0 	: 하지만 여기서 한계죸ㅋㅋㅋㅋ
P0 	: 뭐가 있는지를 멀라욭ㅋㅋㅋㅋㅋ
P1 	: ㅌㅋㅌㅋㅋㅋㅋㅋㅋㅋ
P1 	: 말하신 거랑 연관이 있어요!
P0 	: 건축 설계??
P0 	: 혹시 건축 디자인인가요?
P1 	: 건물이랑 관련된 과는 맞아요!
P1 	: 디자인은 아녜요 ㅎㅎ 예체능 아니예용
P0 	: 뭐가 있을까요...
P0 	: 건축이라고 하셔서 너무 고정관념에 갇혀 있는 거 아닌가 싶어요ㅠㅠ
P0 	: 검색 찬스를 썼습니다
P0 	: 건축학개론 맞으신가요?
P1 	: 아앗 아닙니다 ㅋㅋㅋㅋㅋ
P1 	: 건축은 일반인이랑 좀 떨어진 느낌인데
P1 	: 제 과는 좀 더 우리 일상생활과 관련이 있어요
P0 	: 아아...아니군요
P1 	: 누구나 다들 살면서 이 분야에 관심을 갖게 되어있어요
P1 	: 없으면 노숙자가 되어요
P0 	: 내 집 짓는 건가요?
P0 	: 부동산???
P1 	: 엇
P1 	: 대박 정답
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 어디서 결정적으로 아셨어요?
P0 	: 아 진짴ㅋㅋㅋㅋ 이걸 이렇게 돌아오나요ㅋㅋㅋㅋ
P0 	: 알면서 관심을 갖는다는 걸로 알았어요
P0 	: 살면서
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 지금 손가락이 아파서 음성 인식으로 하고 있어서 오타가 많이 나네요
P0 	: ㅋㅋㅋㅋㅋ
P1 	: 부동산 학과였습니다~!
P0 	: 부동산 학과가 있는지는 처음 알았어요
P1 	: 부동산학과도 되게 전반적으로 잡다한 걸 배워요
P0 	: 저는 부동산 하면 보통 부동산 하시는 분들이 따로 공부하는 건 줄 알았어요
P0 	: 근데 부동산학과가 있었다니 진짜 신기하네요
P1 	: 맞아요 그런 개별적으로 공부해야 하는 분야인데
P1 	: 자라나는 새내기를 기르고 싶었는지 학과를 맘들었더라구요..?
P1 	: 촴내
