# FILE DATA
ID : MDRW2100006996
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 광주
principal_residence : 대구
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 꽃매미 ㅋㅋㅋㅋㅋ근데 예전엔 학교가는길에
P1 	: 엄청많았는데
P1 	: 이젠안보이는거같아 잘...
P1 	: 우리 중고딩때가
P1 	: 피크였지
P0 	: 맞아ㅋㅋㅋㅋ
P0 	: 못본지 진짜 오래된듯
P0 	: 우리 고딩때는 걍 구름다리만 가면
P0 	: 진짜 많이 있었는데
P1 	: 등하굣길 메이트였지...꽃매미..
P0 	: ㅋㅋㅋㅋㅋㅋㅋ진심 ㅇㅈ...
P0 	: 거기가 산이 위에 있어서
P0 	: 구름다리 위에
P0 	: 그렇게 많았나...?
P1 	: 맞아 .... 우리 산 옆이라서
P1 	: 벌레가 많았어 ...
P1 	: 고라니도 있고...
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 고라니한테
P0 	: 한대맞은 애도 있었잖앜ㅋㅋㅋㅋㅋ
P1 	: 그거 우리반이었잖아
P1 	: 나 그때 고라니 발로 찼었어 ...
P1 	: 발로 찼다기보다 내가 발을 들고있었는데
P1 	: 걔가 와서 박은거지만
P0 	: ??
P0 	: 고라니를 발로 찼다고 너가??
P1 	: ㅇㅇ 그때 고라니가 나 포함 3명을 쳤는데
P1 	: 첫번째 애 두번째 애는
P0 	: 앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 너도 맞았었나? 왜 몰랐지
P1 	: 나는 맞았다기보다
P0 	: 난 한명 패고 고라니가 사라진줄알았어
P1 	: 1번애 2번애
P1 	: 치고나서
P1 	: 고라니가 도망가려는데 그...가속도붙은거땜에
P1 	: 도망못가고 내앞까지와서야
P1 	: 방향튼거라
P0 	: 아 진짜??ㅋㅋㅋㅋㅋ
P1 	: 앞에 두명이 데미지 다 맞고
P1 	: 난 그냥 뭐...
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 이상한 고라니였네 ㅋㅋㅋㅋ
P0 	: 우리 고2때
P0 	: ?
P1 	: 그랬을걸 학니언은 잘기억안나는ㄴ데
P1 	: 국어 수업때였던건 기억해
P1 	: 국어할때 무슨 자연을 보면서
P1 	: 시를 짓자고
P1 	: 뒤에 있는 체육관 올라갔다가 ㅋㅋㅋㅋ
P0 	: 앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 자연보다기
P0 	: 가
P0 	: 고라니한테도 맞아버리기 ㅋㅋㅋㅋ
P0 	: 학교생활 얘기 잼나네요
