# FILE DATA
ID : MDRW2100027915
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 일상 트렌드>메타버스(가상세계) 서비스

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경북
principal_residence : 인천
current_residence : 경기
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 서비스 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 이건... 소아온인가?
P1 	: 아 그런거야?
P1 	: 오메가버스 하하버스 이런건줄
P0 	: 가상현실 이계통 아냐?
P1 	: 그런 거 언제 생기려나몰라
P1 	: 내가 죽기 전에 그런 겜을 할 수는 있을까ㅠ
P0 	: 가상현실은 다들 아니까ㅋㅋㅋㅋㅋ 그 예시가 소아온인거지!!!
P0 	: 할 수 있을 거 같음 ㅇ0ㅇ
P0 	: 가상현실 겜처럼 몰입이 가능한지는 모르겠는데
P0 	: 요즘도 눈에 끼고 하는 거는 실감나서 허우적거리지 않나
P1 	: 근데 허우적거리지않는게
P1 	: 중요한 거 아니야?
P1 	: 허허벌판을 뛰어도
P1 	: 내 몸은 잠들어잇어야
P1 	: 집안에사 난리 부르수 안치지
P0 	: 가상현실 겜도 사실 날 재우는 게 아니잖아
P0 	: 정확히는 그 부분을 뭉갠 것에 가깝지만ㅋㅋㅋㅋㅋ
P1 	: 뇌속에서만 움직어야해
P0 	: 그건 좀 오래걸릴 거 같은데
P0 	: 위험해서 안될거같기도 라고
P0 	: 서버가 끊기면 다들 뇌사상태가 되는거지
P0 	: 근데 유레카처럼 환자 치료 재활에
P0 	: 쓰이면 좋겠다
P0 	: 사실 엔터보다는 이부분을 우선으로 하고 있겠지만...
P1 	: 그렇간하지... 난 브이알은 어지러울거같아
P0 	: 아직은 좀 정신 사납더라ㅋㅋㅋㅋ 기기도 무겁구
P0 	: 근데 그 브이알 꽂고 리겜 하는건 넘 재미있어 보였어
P1 	: 칼로 베는거?
P0 	: 어 그거ㅋㅋㅋ
P1 	: 나도 그건 재밌어보이더라 ㅋㅋㅋ
P0 	: 말나온김에ㅡ찾아보는중
P0 	: 안비싸네
P0 	: 근데 눈에 쓰는게 비싸다
P0 	: 곧 더 좋은 게 나오겠지
P0 	: 나도 가상세계 해보고 싶다아
