# FILE DATA
ID : MDRW2100025410
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 반려동물 좋아하시나요
P1 	: 그럼요!
P1 	: 비록 저는 없지만... 남의 반려동물은 잘 귀여워한답니다 ㅎㅎ
P0 	: 저도 없어요.. ㅋㅋㅋㅋ
P0 	: 남의 아이들이 기엽더라구요 ㅠㅠㅠ
P1 	: 제 친구들은 다 고양이 아니면 강아지랑 살더라구요,,
P0 	: 맞아요... 저는 꼭 키우라면 강아지??
P1 	: 헉 저두요!
P1 	: 사실... 예쁜건 고양이긴 한데
P1 	: 저는 교감 많이 하고싶어서....!!!
P0 	: 강아지같은 고양이가
P0 	: 좋은고같어요
P0 	: 기엽더라구요 ㅠ
P1 	: 헉 맞아요 개냥이~!
P1 	: 최고의 조합이죠....
P1 	: 저 방금 물범 관련한 슬픈 소식을 봤어요ㅠ
P1 	: 사람을 좋아하는 물범이 죽은 채 발견됐대요
P0 	: 헐랭 ㅠㅜㅜ물에 사는애들은대체적으로 사람을마니좋아하는거같아요 ㅠㅠ
P1 	: 헉 그러게요... 왜 그런걸까요?
P1 	: 해달도 그렇고...
P1 	: 마음이 너무 아파요ㅠ
P0 	: 저도 돌고래 이런거 키우고싶아오 기엽겠져 ㅋㅋㅋ
P1 	: 네,,, 진짜 평화롭게 살 수 있을 거 같아요
P1 	: 돌고래랑 껴안지는 못하겠지만 ㅠ
P0 	: 물무서워하세요?
P1 	: 네네!
P1 	: 수영도 못해요!
P0 	: 아진짜요??
P0 	: 전물좋아해서
P0 	: 돌고래 타보고 싶네요 ㅋㅋㅋ
P1 	: 우와 돌고래랑 같이 신나게 지내실 수 있겠어요 ㅋㅋㅋㅋ
