# FILE DATA
ID : MDRW2100007579
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 충남
principal_residence : 대전
current_residence : 충북
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아 그렇겠네요
P1 	: 생각보다 까다롭더라고요
P1 	: 애기가졌을 때 보건소에 신청하려고하니
P0 	: 저는 지원 해당안되요 ㅎㅎ
P1 	: 이건뭐 주겠다고 해놓은 정책인가
P1 	: 주는척만하는정책인가 싶었어요
P1 	: 잘 사는것도 아닌데 애매한ㅠ
P0 	: 제가 다 내고 쓰고 있어요
P1 	: 혹시 얼마정도내요?
P1 	: 한달에
P1 	: 그정도 부르려면 얼마정도내나 싶어서요
P0 	: 그래도 밖에 업체보다 싼거같아요
P0 	: 여긴 시간당이예요
P0 	: 한시간에 9800원대예요
P1 	: 아 그렇구나 제가 도시에서 시골로 이사와서 좀 불편한거같아요
P1 	: 교통비도 줘야되고ㅠ
P1 	: 남편 직장때문에 집을 옮겼거든요
P1 	: 남편은 직급있고 좋은데라
P0 	: 또 이건 정부에서 관리하다보니 돌봄선생님들 정기적으로 교육도 시키고 나름 관리하더라구요
P1 	: 7년뒤에는 더 좋아졌길 바래요
P0 	: 아 시골이시면 많은 불편함이 있으시겠어요
P1 	: 네 둘다 차가 있어서 괜찮은데
P1 	: 제가 이직하게되면 출퇴근시간이 길어진다는게
P1 	: 지금은 차로3분거리거든요ㅋㅋ
P1 	: 이직하면 도시로나가게되서 1시간거리인데 출퇴근시간에는 왕복3시간..
P0 	: 에고... 오가다가 지치시겠어요
P1 	: 어마어마하죠 3분에서 3시간은
P0 	: 쉬운결정은 아니네요
P1 	: 지금회사에서 좋은점은 5시퇴근이죠
P0 	: 차이가 많아서
P1 	: 거리도가까운데다가
P1 	: 유류비가 덜 든다?
P1 	: 이정도!
P0 	: 교통체증없다
P0 	: 도 포함 ㅎㅎ되겠네요
P1 	: 맞아요 시골이라서 
	  근데 군에서 정책을 잘해놔서 도로옆주차나 개구리주차같은게 전혀없어요
P1 	: 도시에비해서 차도없는데 저런질서도 잘되있어서
P1 	: 도시보다 육아관련된 돈 주는건 더 있는거같고
P1 	: 혹시 시댁에 전화하시나요?
P0 	: 애어릴땐 자연과 프리하게 키우시고
P1 	: 그런거원하는집이 좀 있는것같아요!
P0 	: 차후엔 델고나오셔요 ㅎㅎ
P0 	: 잘안해요 ㅋㅋ
P1 	: 네 저도 애기 중학생부터는 도시로나오려고요
P1 	: 저는 애기가 시댁으로가니 자동적으로 매일보는데
P1 	: 주말마다 가는게 쉽지않더라고요ㅡㅠ
P0 	: 처음엔 바라시던데 안하니까
